SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,38,12,76.0,-10.128,10.9540925163677,152.46,137.0

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,152.0,144.0,-5.26,PASSED,1
3136625912,151.0,139.0,-7.95,PASSED,2
3929915461,151.0,141.0,-6.62,PASSED,3
1202416571,155.0,141.0,-9.03,PASSED,4
2364296927,151.0,148.0,-1.99,PASSED,5
4048914527,155.0,128.0,-17.42,FAILED,6
245611477,155.0,135.0,-12.9,PASSED,7
889747142,151.0,126.0,-16.56,FAILED,8
895825300,151.0,153.0,1.32,PASSED,9
1537731292,155.0,153.0,-1.29,PASSED,10
3805256479,151.0,126.0,-16.56,FAILED,11
3417776730,151.0,155.0,2.65,PASSED,12
3455291829,151.0,137.0,-9.27,PASSED,13
3966897901,151.0,144.0,-4.64,PASSED,14
385689091,152.0,127.0,-16.45,FAILED,15
2928191392,152.0,136.0,-10.53,PASSED,16
2769896855,152.0,144.0,-5.26,PASSED,17
350716878,152.0,121.0,-20.39,FAILED,18
2922301505,151.0,139.0,-7.95,PASSED,19
1417047792,151.0,137.0,-9.27,PASSED,20
3575888941,151.0,153.0,1.32,PASSED,21
3584571707,152.0,132.0,-13.16,PASSED,22
387571930,155.0,135.0,-12.9,PASSED,23
2400127562,155.0,156.0,0.65,PASSED,24
1962563501,152.0,127.0,-16.45,FAILED,25
2311149461,155.0,153.0,-1.29,PASSED,26
1217076006,155.0,135.0,-12.9,PASSED,27
833115634,151.0,148.0,-1.99,PASSED,28
685136543,151.0,153.0,1.32,PASSED,29
458209100,151.0,141.0,-6.62,PASSED,30
3587010598,155.0,141.0,-9.03,PASSED,31
2207326226,152.0,84.0,-44.74,FAILED,32
2018560162,152.0,84.0,-44.74,FAILED,33
1180350208,152.0,132.0,-13.16,PASSED,34
343332238,151.0,144.0,-4.64,PASSED,35
2756812092,151.0,137.0,-9.27,PASSED,36
4102742164,155.0,141.0,-9.03,PASSED,37
1440055438,151.0,141.0,-6.62,PASSED,38
4064325021,155.0,128.0,-17.42,FAILED,39
1040026147,152.0,84.0,-44.74,FAILED,40
1290827593,151.0,153.0,1.32,PASSED,41
2221090888,152.0,121.0,-20.39,FAILED,42
3621737956,155.0,128.0,-17.42,FAILED,43
3267534106,151.0,155.0,2.65,PASSED,44
2950706546,155.0,135.0,-12.9,PASSED,45
2124413061,151.0,141.0,-6.62,PASSED,46
957283921,155.0,153.0,-1.29,PASSED,47
3405922055,152.0,149.0,-1.97,PASSED,48
1945397770,151.0,153.0,1.32,PASSED,49
1750365479,155.0,139.0,-10.32,PASSED,50
