SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,33,17,66.0,-23.196399999999997,28.49428283221827,123.94,95.14

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,115.0,-11.54,PASSED,1
3136625912,121.0,135.0,11.57,PASSED,2
3929915461,121.0,115.0,-4.96,PASSED,3
1202416571,123.0,118.0,-4.07,PASSED,4
2364296927,121.0,126.0,4.13,PASSED,5
4048914527,123.0,111.0,-9.76,PASSED,6
245611477,123.0,34.0,-72.36,FAILED,7
889747142,121.0,114.0,-5.79,PASSED,8
895825300,121.0,59.0,-51.24,FAILED,9
1537731292,123.0,110.0,-10.57,PASSED,10
3805256479,121.0,114.0,-5.79,PASSED,11
3417776730,121.0,52.0,-57.02,FAILED,12
3455291829,121.0,104.0,-14.05,PASSED,13
3966897901,121.0,123.0,1.65,PASSED,14
385689091,130.0,115.0,-11.54,PASSED,15
2928191392,130.0,129.0,-0.77,PASSED,16
2769896855,130.0,115.0,-11.54,PASSED,17
350716878,130.0,35.0,-73.08,FAILED,18
2922301505,121.0,135.0,11.57,PASSED,19
1417047792,121.0,104.0,-14.05,PASSED,20
3575888941,121.0,15.0,-87.6,FAILED,21
3584571707,130.0,127.0,-2.31,PASSED,22
387571930,123.0,34.0,-72.36,FAILED,23
2400127562,123.0,18.0,-85.37,FAILED,24
1962563501,130.0,115.0,-11.54,PASSED,25
2311149461,123.0,110.0,-10.57,PASSED,26
1217076006,123.0,34.0,-72.36,FAILED,27
833115634,121.0,126.0,4.13,PASSED,28
685136543,121.0,59.0,-51.24,FAILED,29
458209100,121.0,115.0,-4.96,PASSED,30
3587010598,123.0,118.0,-4.07,PASSED,31
2207326226,130.0,102.0,-21.54,FAILED,32
2018560162,130.0,102.0,-21.54,FAILED,33
1180350208,130.0,127.0,-2.31,PASSED,34
343332238,121.0,123.0,1.65,PASSED,35
2756812092,121.0,104.0,-14.05,PASSED,36
4102742164,123.0,118.0,-4.07,PASSED,37
1440055438,121.0,115.0,-4.96,PASSED,38
4064325021,123.0,111.0,-9.76,PASSED,39
1040026147,130.0,102.0,-21.54,FAILED,40
1290827593,121.0,116.0,-4.13,PASSED,41
2221090888,130.0,35.0,-73.08,FAILED,42
3621737956,123.0,111.0,-9.76,PASSED,43
3267534106,121.0,52.0,-57.02,FAILED,44
2950706546,123.0,34.0,-72.36,FAILED,45
2124413061,121.0,115.0,-4.96,PASSED,46
957283921,123.0,110.0,-10.57,PASSED,47
3405922055,130.0,72.0,-44.62,FAILED,48
1945397770,121.0,59.0,-51.24,FAILED,49
1750365479,123.0,115.0,-6.5,PASSED,50
