SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,30,20,60.0,-15.000399999999999,18.807215610515243,123.94,104.9

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,74.0,-43.08,FAILED,1
3136625912,121.0,134.0,10.74,PASSED,2
3929915461,121.0,112.0,-7.44,PASSED,3
1202416571,123.0,122.0,-0.81,PASSED,4
2364296927,121.0,116.0,-4.13,PASSED,5
4048914527,123.0,84.0,-31.71,FAILED,6
245611477,123.0,129.0,4.88,PASSED,7
889747142,121.0,113.0,-6.61,PASSED,8
895825300,121.0,119.0,-1.65,PASSED,9
1537731292,123.0,90.0,-26.83,FAILED,10
3805256479,121.0,113.0,-6.61,PASSED,11
3417776730,121.0,117.0,-3.31,PASSED,12
3455291829,121.0,117.0,-3.31,PASSED,13
3966897901,121.0,119.0,-1.65,PASSED,14
385689091,130.0,114.0,-12.31,PASSED,15
2928191392,130.0,109.0,-16.15,FAILED,16
2769896855,130.0,74.0,-43.08,FAILED,17
350716878,130.0,108.0,-16.92,FAILED,18
2922301505,121.0,134.0,10.74,PASSED,19
1417047792,121.0,117.0,-3.31,PASSED,20
3575888941,121.0,59.0,-51.24,FAILED,21
3584571707,130.0,51.0,-60.77,FAILED,22
387571930,123.0,129.0,4.88,PASSED,23
2400127562,123.0,102.0,-17.07,FAILED,24
1962563501,130.0,114.0,-12.31,PASSED,25
2311149461,123.0,90.0,-26.83,FAILED,26
1217076006,123.0,129.0,4.88,PASSED,27
833115634,121.0,116.0,-4.13,PASSED,28
685136543,121.0,119.0,-1.65,PASSED,29
458209100,121.0,112.0,-7.44,PASSED,30
3587010598,123.0,122.0,-0.81,PASSED,31
2207326226,130.0,72.0,-44.62,FAILED,32
2018560162,130.0,72.0,-44.62,FAILED,33
1180350208,130.0,51.0,-60.77,FAILED,34
343332238,121.0,119.0,-1.65,PASSED,35
2756812092,121.0,117.0,-3.31,PASSED,36
4102742164,123.0,122.0,-0.81,PASSED,37
1440055438,121.0,112.0,-7.44,PASSED,38
4064325021,123.0,84.0,-31.71,FAILED,39
1040026147,130.0,72.0,-44.62,FAILED,40
1290827593,121.0,121.0,0.0,PASSED,41
2221090888,130.0,108.0,-16.92,FAILED,42
3621737956,123.0,84.0,-31.71,FAILED,43
3267534106,121.0,117.0,-3.31,PASSED,44
2950706546,123.0,129.0,4.88,PASSED,45
2124413061,121.0,112.0,-7.44,PASSED,46
957283921,123.0,90.0,-26.83,FAILED,47
3405922055,130.0,84.0,-35.38,FAILED,48
1945397770,121.0,119.0,-1.65,PASSED,49
1750365479,123.0,102.0,-17.07,FAILED,50
