SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,14,36,28.000000000000004,-26.947400000000002,18.624960190068396,123.94,90.52

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,79.0,-39.23,FAILED,1
3136625912,121.0,86.0,-28.93,FAILED,2
3929915461,121.0,60.0,-50.41,FAILED,3
1202416571,123.0,88.0,-28.46,FAILED,4
2364296927,121.0,105.0,-13.22,PASSED,5
4048914527,123.0,91.0,-26.02,FAILED,6
245611477,123.0,120.0,-2.44,PASSED,7
889747142,121.0,80.0,-33.88,FAILED,8
895825300,121.0,73.0,-39.67,FAILED,9
1537731292,123.0,84.0,-31.71,FAILED,10
3805256479,121.0,105.0,-13.22,PASSED,11
3417776730,121.0,86.0,-28.93,FAILED,12
3455291829,121.0,54.0,-55.37,FAILED,13
3966897901,121.0,76.0,-37.19,FAILED,14
385689091,130.0,83.0,-36.15,FAILED,15
2928191392,130.0,107.0,-17.69,FAILED,16
2769896855,130.0,97.0,-25.38,FAILED,17
350716878,130.0,47.0,-63.85,FAILED,18
2922301505,121.0,103.0,-14.88,PASSED,19
1417047792,121.0,115.0,-4.96,PASSED,20
3575888941,121.0,138.0,14.05,PASSED,21
3584571707,130.0,107.0,-17.69,FAILED,22
387571930,123.0,117.0,-4.88,PASSED,23
2400127562,123.0,119.0,-3.25,PASSED,24
1962563501,130.0,80.0,-38.46,FAILED,25
2311149461,123.0,84.0,-31.71,FAILED,26
1217076006,123.0,107.0,-13.01,PASSED,27
833115634,121.0,94.0,-22.31,FAILED,28
685136543,121.0,34.0,-71.9,FAILED,29
458209100,121.0,83.0,-31.4,FAILED,30
3587010598,123.0,97.0,-21.14,FAILED,31
2207326226,130.0,103.0,-20.77,FAILED,32
2018560162,130.0,62.0,-52.31,FAILED,33
1180350208,130.0,129.0,-0.77,PASSED,34
343332238,121.0,96.0,-20.66,FAILED,35
2756812092,121.0,63.0,-47.93,FAILED,36
4102742164,123.0,90.0,-26.83,FAILED,37
1440055438,121.0,112.0,-7.44,PASSED,38
4064325021,123.0,70.0,-43.09,FAILED,39
1040026147,130.0,72.0,-44.62,FAILED,40
1290827593,121.0,91.0,-24.79,FAILED,41
2221090888,130.0,116.0,-10.77,PASSED,42
3621737956,123.0,121.0,-1.63,PASSED,43
3267534106,121.0,96.0,-20.66,FAILED,44
2950706546,123.0,114.0,-7.32,PASSED,45
2124413061,121.0,84.0,-30.58,FAILED,46
957283921,123.0,95.0,-22.76,FAILED,47
3405922055,130.0,108.0,-16.92,FAILED,48
1945397770,121.0,30.0,-75.21,FAILED,49
1750365479,123.0,75.0,-39.02,FAILED,50
