SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,26,24,52.0,-17.3704,14.966824941059693,152.46,125.9

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,152.0,99.0,-34.87,FAILED,1
3136625912,151.0,142.0,-5.96,PASSED,2
3929915461,151.0,102.0,-32.45,FAILED,3
1202416571,155.0,132.0,-14.84,PASSED,4
2364296927,151.0,145.0,-3.97,PASSED,5
4048914527,155.0,129.0,-16.77,FAILED,6
245611477,155.0,135.0,-12.9,PASSED,7
889747142,151.0,101.0,-33.11,FAILED,8
895825300,151.0,140.0,-7.28,PASSED,9
1537731292,155.0,122.0,-21.29,FAILED,10
3805256479,151.0,118.0,-21.85,FAILED,11
3417776730,151.0,132.0,-12.58,PASSED,12
3455291829,151.0,117.0,-22.52,FAILED,13
3966897901,151.0,125.0,-17.22,FAILED,14
385689091,152.0,151.0,-0.66,PASSED,15
2928191392,152.0,146.0,-3.95,PASSED,16
2769896855,152.0,153.0,0.66,PASSED,17
350716878,152.0,151.0,-0.66,PASSED,18
2922301505,151.0,114.0,-24.5,FAILED,19
1417047792,151.0,119.0,-21.19,FAILED,20
3575888941,151.0,139.0,-7.95,PASSED,21
3584571707,152.0,151.0,-0.66,PASSED,22
387571930,155.0,96.0,-38.06,FAILED,23
2400127562,155.0,113.0,-27.1,FAILED,24
1962563501,152.0,130.0,-14.47,PASSED,25
2311149461,155.0,71.0,-54.19,FAILED,26
1217076006,155.0,132.0,-14.84,PASSED,27
833115634,151.0,110.0,-27.15,FAILED,28
685136543,151.0,125.0,-17.22,FAILED,29
458209100,151.0,126.0,-16.56,FAILED,30
3587010598,155.0,142.0,-8.39,PASSED,31
2207326226,152.0,152.0,0.0,PASSED,32
2018560162,152.0,133.0,-12.5,PASSED,33
1180350208,152.0,155.0,1.97,PASSED,34
343332238,151.0,126.0,-16.56,FAILED,35
2756812092,151.0,122.0,-19.21,FAILED,36
4102742164,155.0,60.0,-61.29,FAILED,37
1440055438,151.0,103.0,-31.79,FAILED,38
4064325021,155.0,148.0,-4.52,PASSED,39
1040026147,152.0,153.0,0.66,PASSED,40
1290827593,151.0,129.0,-14.57,PASSED,41
2221090888,152.0,130.0,-14.47,PASSED,42
3621737956,155.0,145.0,-6.45,PASSED,43
3267534106,151.0,98.0,-35.1,FAILED,44
2950706546,155.0,119.0,-23.23,FAILED,45
2124413061,151.0,140.0,-7.28,PASSED,46
957283921,155.0,95.0,-38.71,FAILED,47
3405922055,152.0,152.0,0.0,PASSED,48
1945397770,151.0,151.0,0.0,PASSED,49
1750365479,155.0,76.0,-50.97,FAILED,50
