SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,12,38,24.0,-26.435399999999994,15.065277175257911,123.94,91.12

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,129.0,-0.77,PASSED,1
3136625912,121.0,94.0,-22.31,FAILED,2
3929915461,121.0,120.0,-0.83,PASSED,3
1202416571,123.0,47.0,-61.79,FAILED,4
2364296927,121.0,105.0,-13.22,PASSED,5
4048914527,123.0,100.0,-18.7,FAILED,6
245611477,123.0,92.0,-25.2,FAILED,7
889747142,121.0,83.0,-31.4,FAILED,8
895825300,121.0,94.0,-22.31,FAILED,9
1537731292,123.0,110.0,-10.57,PASSED,10
3805256479,121.0,87.0,-28.1,FAILED,11
3417776730,121.0,85.0,-29.75,FAILED,12
3455291829,121.0,71.0,-41.32,FAILED,13
3966897901,121.0,88.0,-27.27,FAILED,14
385689091,130.0,111.0,-14.62,PASSED,15
2928191392,130.0,73.0,-43.85,FAILED,16
2769896855,130.0,86.0,-33.85,FAILED,17
350716878,130.0,100.0,-23.08,FAILED,18
2922301505,121.0,104.0,-14.05,PASSED,19
1417047792,121.0,87.0,-28.1,FAILED,20
3575888941,121.0,110.0,-9.09,PASSED,21
3584571707,130.0,46.0,-64.62,FAILED,22
387571930,123.0,90.0,-26.83,FAILED,23
2400127562,123.0,70.0,-43.09,FAILED,24
1962563501,130.0,113.0,-13.08,PASSED,25
2311149461,123.0,89.0,-27.64,FAILED,26
1217076006,123.0,116.0,-5.69,PASSED,27
833115634,121.0,83.0,-31.4,FAILED,28
685136543,121.0,92.0,-23.97,FAILED,29
458209100,121.0,90.0,-25.62,FAILED,30
3587010598,123.0,48.0,-60.98,FAILED,31
2207326226,130.0,89.0,-31.54,FAILED,32
2018560162,130.0,90.0,-30.77,FAILED,33
1180350208,130.0,89.0,-31.54,FAILED,34
343332238,121.0,93.0,-23.14,FAILED,35
2756812092,121.0,95.0,-21.49,FAILED,36
4102742164,123.0,53.0,-56.91,FAILED,37
1440055438,121.0,87.0,-28.1,FAILED,38
4064325021,123.0,120.0,-2.44,PASSED,39
1040026147,130.0,98.0,-24.62,FAILED,40
1290827593,121.0,92.0,-23.97,FAILED,41
2221090888,130.0,69.0,-46.92,FAILED,42
3621737956,123.0,87.0,-29.27,FAILED,43
3267534106,121.0,96.0,-20.66,FAILED,44
2950706546,123.0,71.0,-42.28,FAILED,45
2124413061,121.0,109.0,-9.92,PASSED,46
957283921,123.0,99.0,-19.51,FAILED,47
3405922055,130.0,127.0,-2.31,PASSED,48
1945397770,121.0,89.0,-26.45,FAILED,49
1750365479,123.0,90.0,-26.83,FAILED,50
