SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,42.645199999999996,2.7425887071025676,1158.48,496.44

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,1102,469,42.56,FAILED,1
3136625912,1062,406,38.23,FAILED,2
3929915461,1362,630,46.26,FAILED,3
1202416571,1151,504,43.79,FAILED,4
2364296927,1060,406,38.3,FAILED,5
4048914527,1152,506,43.92,FAILED,6
245611477,1148,502,43.73,FAILED,7
889747142,1061,407,38.36,FAILED,8
895825300,1059,405,38.24,FAILED,9
1537731292,1147,500,43.59,FAILED,10
3805256479,1061,407,38.36,FAILED,11
3417776730,1356,625,46.09,FAILED,12
3455291829,1064,409,38.44,FAILED,13
3966897901,1359,628,46.21,FAILED,14
385689091,1103,470,42.61,FAILED,15
2928191392,1105,472,42.71,FAILED,16
2769896855,1102,469,42.56,FAILED,17
350716878,1104,471,42.66,FAILED,18
2922301505,1062,406,38.23,FAILED,19
1417047792,1064,409,38.44,FAILED,20
3575888941,1357,626,46.13,FAILED,21
3584571707,1107,474,42.82,FAILED,22
387571930,1148,502,43.73,FAILED,23
2400127562,1150,503,43.74,FAILED,24
1962563501,1103,470,42.61,FAILED,25
2311149461,1147,500,43.59,FAILED,26
1217076006,1148,502,43.73,FAILED,27
833115634,1060,406,38.3,FAILED,28
685136543,1059,405,38.24,FAILED,29
458209100,1362,630,46.26,FAILED,30
3587010598,1151,504,43.79,FAILED,31
2207326226,1106,472,42.68,FAILED,32
2018560162,1106,472,42.68,FAILED,33
1180350208,1107,474,42.82,FAILED,34
343332238,1359,628,46.21,FAILED,35
2756812092,1064,409,38.44,FAILED,36
4102742164,1151,504,43.79,FAILED,37
1440055438,1362,630,46.26,FAILED,38
4064325021,1152,506,43.92,FAILED,39
1040026147,1106,472,42.68,FAILED,40
1290827593,1360,627,46.1,FAILED,41
2221090888,1104,471,42.66,FAILED,42
3621737956,1152,506,43.92,FAILED,43
3267534106,1356,625,46.09,FAILED,44
2950706546,1148,502,43.73,FAILED,45
2124413061,1362,630,46.26,FAILED,46
957283921,1147,500,43.59,FAILED,47
3405922055,1101,467,42.42,FAILED,48
1945397770,1059,405,38.24,FAILED,49
1750365479,1146,499,43.54,FAILED,50
