SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,37,13,74.0,13.609199999999998,2.3159534026541433,839.84,115.9

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,944,160,16.95,FAILED,1
3136625912,768,95,12.37,PASSED,2
3929915461,768,80,10.42,PASSED,3
1202416571,857,118,13.77,PASSED,4
2364296927,766,95,12.4,PASSED,5
4048914527,858,118,13.75,PASSED,6
245611477,854,118,13.82,PASSED,7
889747142,767,95,12.39,PASSED,8
895825300,765,95,12.42,PASSED,9
1537731292,853,118,13.83,PASSED,10
3805256479,767,95,12.39,PASSED,11
3417776730,762,80,10.5,PASSED,12
3455291829,770,95,12.34,PASSED,13
3966897901,765,80,10.46,PASSED,14
385689091,945,161,17.04,FAILED,15
2928191392,947,160,16.9,FAILED,16
2769896855,944,160,16.95,FAILED,17
350716878,946,160,16.91,FAILED,18
2922301505,768,95,12.37,PASSED,19
1417047792,770,95,12.34,PASSED,20
3575888941,763,80,10.48,PASSED,21
3584571707,949,161,16.97,FAILED,22
387571930,854,118,13.82,PASSED,23
2400127562,856,118,13.79,PASSED,24
1962563501,945,161,17.04,FAILED,25
2311149461,853,118,13.83,PASSED,26
1217076006,854,118,13.82,PASSED,27
833115634,766,95,12.4,PASSED,28
685136543,765,95,12.42,PASSED,29
458209100,768,80,10.42,PASSED,30
3587010598,857,118,13.77,PASSED,31
2207326226,948,160,16.88,FAILED,32
2018560162,948,160,16.88,FAILED,33
1180350208,949,161,16.97,FAILED,34
343332238,765,80,10.46,PASSED,35
2756812092,770,95,12.34,PASSED,36
4102742164,857,118,13.77,PASSED,37
1440055438,768,80,10.42,PASSED,38
4064325021,858,118,13.75,PASSED,39
1040026147,948,160,16.88,FAILED,40
1290827593,766,80,10.44,PASSED,41
2221090888,946,160,16.91,FAILED,42
3621737956,858,118,13.75,PASSED,43
3267534106,762,80,10.5,PASSED,44
2950706546,854,118,13.82,PASSED,45
2124413061,768,80,10.42,PASSED,46
957283921,853,118,13.83,PASSED,47
3405922055,943,160,16.97,FAILED,48
1945397770,765,95,12.42,PASSED,49
1750365479,852,119,13.97,PASSED,50
