SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,20.4308,3.2046253816530097,839.84,170.2

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,944,146,15.47,FAILED,1
3136625912,768,162,21.09,FAILED,2
3929915461,768,160,20.83,FAILED,3
1202416571,857,205,23.92,FAILED,4
2364296927,766,162,21.15,FAILED,5
4048914527,858,205,23.89,FAILED,6
245611477,854,204,23.89,FAILED,7
889747142,767,162,21.12,FAILED,8
895825300,765,161,21.05,FAILED,9
1537731292,853,204,23.92,FAILED,10
3805256479,767,162,21.12,FAILED,11
3417776730,762,158,20.73,FAILED,12
3455291829,770,162,21.04,FAILED,13
3966897901,765,160,20.92,FAILED,14
385689091,945,147,15.56,FAILED,15
2928191392,947,146,15.42,FAILED,16
2769896855,944,146,15.47,FAILED,17
350716878,946,146,15.43,FAILED,18
2922301505,768,162,21.09,FAILED,19
1417047792,770,162,21.04,FAILED,20
3575888941,763,160,20.97,FAILED,21
3584571707,949,148,15.6,FAILED,22
387571930,854,204,23.89,FAILED,23
2400127562,856,204,23.83,FAILED,24
1962563501,945,147,15.56,FAILED,25
2311149461,853,204,23.92,FAILED,26
1217076006,854,204,23.89,FAILED,27
833115634,766,162,21.15,FAILED,28
685136543,765,161,21.05,FAILED,29
458209100,768,160,20.83,FAILED,30
3587010598,857,205,23.92,FAILED,31
2207326226,948,147,15.51,FAILED,32
2018560162,948,147,15.51,FAILED,33
1180350208,949,148,15.6,FAILED,34
343332238,765,160,20.92,FAILED,35
2756812092,770,162,21.04,FAILED,36
4102742164,857,205,23.92,FAILED,37
1440055438,768,160,20.83,FAILED,38
4064325021,858,205,23.89,FAILED,39
1040026147,948,147,15.51,FAILED,40
1290827593,766,160,20.89,FAILED,41
2221090888,946,146,15.43,FAILED,42
3621737956,858,205,23.89,FAILED,43
3267534106,762,158,20.73,FAILED,44
2950706546,854,204,23.89,FAILED,45
2124413061,768,160,20.83,FAILED,46
957283921,853,204,23.92,FAILED,47
3405922055,943,146,15.48,FAILED,48
1945397770,765,161,21.05,FAILED,49
1750365479,852,204,23.94,FAILED,50
