SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,0,50,0.0,-40.8158,5.184827980142976,123.94,73.38

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,80.0,-38.46,FAILED,1
3136625912,121.0,67.0,-44.63,FAILED,2
3929915461,121.0,82.0,-32.23,FAILED,3
1202416571,123.0,67.0,-45.53,FAILED,4
2364296927,121.0,67.0,-44.63,FAILED,5
4048914527,123.0,67.0,-45.53,FAILED,6
245611477,123.0,67.0,-45.53,FAILED,7
889747142,121.0,67.0,-44.63,FAILED,8
895825300,121.0,67.0,-44.63,FAILED,9
1537731292,123.0,67.0,-45.53,FAILED,10
3805256479,121.0,67.0,-44.63,FAILED,11
3417776730,121.0,82.0,-32.23,FAILED,12
3455291829,121.0,67.0,-44.63,FAILED,13
3966897901,121.0,82.0,-32.23,FAILED,14
385689091,130.0,80.0,-38.46,FAILED,15
2928191392,130.0,80.0,-38.46,FAILED,16
2769896855,130.0,80.0,-38.46,FAILED,17
350716878,130.0,80.0,-38.46,FAILED,18
2922301505,121.0,67.0,-44.63,FAILED,19
1417047792,121.0,67.0,-44.63,FAILED,20
3575888941,121.0,82.0,-32.23,FAILED,21
3584571707,130.0,80.0,-38.46,FAILED,22
387571930,123.0,67.0,-45.53,FAILED,23
2400127562,123.0,67.0,-45.53,FAILED,24
1962563501,130.0,80.0,-38.46,FAILED,25
2311149461,123.0,67.0,-45.53,FAILED,26
1217076006,123.0,67.0,-45.53,FAILED,27
833115634,121.0,67.0,-44.63,FAILED,28
685136543,121.0,67.0,-44.63,FAILED,29
458209100,121.0,82.0,-32.23,FAILED,30
3587010598,123.0,67.0,-45.53,FAILED,31
2207326226,130.0,80.0,-38.46,FAILED,32
2018560162,130.0,80.0,-38.46,FAILED,33
1180350208,130.0,80.0,-38.46,FAILED,34
343332238,121.0,82.0,-32.23,FAILED,35
2756812092,121.0,67.0,-44.63,FAILED,36
4102742164,123.0,67.0,-45.53,FAILED,37
1440055438,121.0,82.0,-32.23,FAILED,38
4064325021,123.0,67.0,-45.53,FAILED,39
1040026147,130.0,80.0,-38.46,FAILED,40
1290827593,121.0,82.0,-32.23,FAILED,41
2221090888,130.0,80.0,-38.46,FAILED,42
3621737956,123.0,67.0,-45.53,FAILED,43
3267534106,121.0,82.0,-32.23,FAILED,44
2950706546,123.0,67.0,-45.53,FAILED,45
2124413061,121.0,82.0,-32.23,FAILED,46
957283921,123.0,67.0,-45.53,FAILED,47
3405922055,130.0,80.0,-38.46,FAILED,48
1945397770,121.0,67.0,-44.63,FAILED,49
1750365479,123.0,67.0,-45.53,FAILED,50
