SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,50,0,100.0,-1.3585999999999998,2.7080107994237976,123.94,122.16

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,123.0,-5.38,PASSED,1
3136625912,121.0,122.0,0.83,PASSED,2
3929915461,121.0,123.0,1.65,PASSED,3
1202416571,123.0,121.0,-1.63,PASSED,4
2364296927,121.0,122.0,0.83,PASSED,5
4048914527,123.0,121.0,-1.63,PASSED,6
245611477,123.0,121.0,-1.63,PASSED,7
889747142,121.0,122.0,0.83,PASSED,8
895825300,121.0,122.0,0.83,PASSED,9
1537731292,123.0,121.0,-1.63,PASSED,10
3805256479,121.0,122.0,0.83,PASSED,11
3417776730,121.0,123.0,1.65,PASSED,12
3455291829,121.0,122.0,0.83,PASSED,13
3966897901,121.0,123.0,1.65,PASSED,14
385689091,130.0,123.0,-5.38,PASSED,15
2928191392,130.0,123.0,-5.38,PASSED,16
2769896855,130.0,123.0,-5.38,PASSED,17
350716878,130.0,123.0,-5.38,PASSED,18
2922301505,121.0,122.0,0.83,PASSED,19
1417047792,121.0,122.0,0.83,PASSED,20
3575888941,121.0,123.0,1.65,PASSED,21
3584571707,130.0,123.0,-5.38,PASSED,22
387571930,123.0,121.0,-1.63,PASSED,23
2400127562,123.0,121.0,-1.63,PASSED,24
1962563501,130.0,123.0,-5.38,PASSED,25
2311149461,123.0,121.0,-1.63,PASSED,26
1217076006,123.0,121.0,-1.63,PASSED,27
833115634,121.0,122.0,0.83,PASSED,28
685136543,121.0,122.0,0.83,PASSED,29
458209100,121.0,123.0,1.65,PASSED,30
3587010598,123.0,121.0,-1.63,PASSED,31
2207326226,130.0,123.0,-5.38,PASSED,32
2018560162,130.0,123.0,-5.38,PASSED,33
1180350208,130.0,123.0,-5.38,PASSED,34
343332238,121.0,123.0,1.65,PASSED,35
2756812092,121.0,122.0,0.83,PASSED,36
4102742164,123.0,121.0,-1.63,PASSED,37
1440055438,121.0,123.0,1.65,PASSED,38
4064325021,123.0,121.0,-1.63,PASSED,39
1040026147,130.0,123.0,-5.38,PASSED,40
1290827593,121.0,123.0,1.65,PASSED,41
2221090888,130.0,123.0,-5.38,PASSED,42
3621737956,123.0,121.0,-1.63,PASSED,43
3267534106,121.0,123.0,1.65,PASSED,44
2950706546,123.0,121.0,-1.63,PASSED,45
2124413061,121.0,123.0,1.65,PASSED,46
957283921,123.0,121.0,-1.63,PASSED,47
3405922055,130.0,123.0,-5.38,PASSED,48
1945397770,121.0,122.0,0.83,PASSED,49
1750365479,123.0,121.0,-1.63,PASSED,50
