SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,18,32,36.0,-25.0506,21.999973971227643,148.34,110.78

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,145.0,139.0,-4.14,PASSED,1
3136625912,146.0,81.0,-44.52,FAILED,2
3929915461,147.0,147.0,0.0,PASSED,3
1202416571,154.0,121.0,-21.43,FAILED,4
2364296927,146.0,50.0,-65.75,FAILED,5
4048914527,154.0,78.0,-49.35,FAILED,6
245611477,154.0,50.0,-67.53,FAILED,7
889747142,146.0,118.0,-19.18,FAILED,8
895825300,146.0,115.0,-21.23,FAILED,9
1537731292,154.0,126.0,-18.18,FAILED,10
3805256479,146.0,118.0,-19.18,FAILED,11
3417776730,147.0,107.0,-27.21,FAILED,12
3455291829,146.0,85.0,-41.78,FAILED,13
3966897901,147.0,119.0,-19.05,FAILED,14
385689091,145.0,140.0,-3.45,PASSED,15
2928191392,145.0,147.0,1.38,PASSED,16
2769896855,145.0,139.0,-4.14,PASSED,17
350716878,145.0,124.0,-14.48,PASSED,18
2922301505,146.0,81.0,-44.52,FAILED,19
1417047792,146.0,85.0,-41.78,FAILED,20
3575888941,147.0,118.0,-19.73,FAILED,21
3584571707,145.0,149.0,2.76,PASSED,22
387571930,154.0,50.0,-67.53,FAILED,23
2400127562,154.0,126.0,-18.18,FAILED,24
1962563501,145.0,140.0,-3.45,PASSED,25
2311149461,154.0,126.0,-18.18,FAILED,26
1217076006,154.0,50.0,-67.53,FAILED,27
833115634,146.0,50.0,-65.75,FAILED,28
685136543,146.0,115.0,-21.23,FAILED,29
458209100,147.0,147.0,0.0,PASSED,30
3587010598,154.0,121.0,-21.43,FAILED,31
2207326226,145.0,124.0,-14.48,PASSED,32
2018560162,145.0,124.0,-14.48,PASSED,33
1180350208,145.0,149.0,2.76,PASSED,34
343332238,147.0,119.0,-19.05,FAILED,35
2756812092,146.0,85.0,-41.78,FAILED,36
4102742164,154.0,121.0,-21.43,FAILED,37
1440055438,147.0,147.0,0.0,PASSED,38
4064325021,154.0,78.0,-49.35,FAILED,39
1040026147,145.0,124.0,-14.48,PASSED,40
1290827593,147.0,147.0,0.0,PASSED,41
2221090888,145.0,124.0,-14.48,PASSED,42
3621737956,154.0,78.0,-49.35,FAILED,43
3267534106,147.0,107.0,-27.21,FAILED,44
2950706546,154.0,50.0,-67.53,FAILED,45
2124413061,147.0,147.0,0.0,PASSED,46
957283921,154.0,126.0,-18.18,FAILED,47
3405922055,145.0,145.0,0.0,PASSED,48
1945397770,146.0,115.0,-21.23,FAILED,49
1750365479,154.0,67.0,-56.49,FAILED,50
