SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,0,50,0.0,-45.6668,12.612226727283655,152.46,82.84

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,152.0,58.0,-61.84,FAILED,1
3136625912,151.0,109.0,-27.81,FAILED,2
3929915461,151.0,73.0,-51.66,FAILED,3
1202416571,155.0,90.0,-41.94,FAILED,4
2364296927,151.0,109.0,-27.81,FAILED,5
4048914527,155.0,90.0,-41.94,FAILED,6
245611477,155.0,90.0,-41.94,FAILED,7
889747142,151.0,109.0,-27.81,FAILED,8
895825300,151.0,109.0,-27.81,FAILED,9
1537731292,155.0,90.0,-41.94,FAILED,10
3805256479,151.0,109.0,-27.81,FAILED,11
3417776730,151.0,73.0,-51.66,FAILED,12
3455291829,151.0,109.0,-27.81,FAILED,13
3966897901,151.0,73.0,-51.66,FAILED,14
385689091,152.0,58.0,-61.84,FAILED,15
2928191392,152.0,58.0,-61.84,FAILED,16
2769896855,152.0,58.0,-61.84,FAILED,17
350716878,152.0,58.0,-61.84,FAILED,18
2922301505,151.0,109.0,-27.81,FAILED,19
1417047792,151.0,109.0,-27.81,FAILED,20
3575888941,151.0,73.0,-51.66,FAILED,21
3584571707,152.0,58.0,-61.84,FAILED,22
387571930,155.0,90.0,-41.94,FAILED,23
2400127562,155.0,90.0,-41.94,FAILED,24
1962563501,152.0,58.0,-61.84,FAILED,25
2311149461,155.0,90.0,-41.94,FAILED,26
1217076006,155.0,90.0,-41.94,FAILED,27
833115634,151.0,109.0,-27.81,FAILED,28
685136543,151.0,109.0,-27.81,FAILED,29
458209100,151.0,73.0,-51.66,FAILED,30
3587010598,155.0,90.0,-41.94,FAILED,31
2207326226,152.0,58.0,-61.84,FAILED,32
2018560162,152.0,58.0,-61.84,FAILED,33
1180350208,152.0,58.0,-61.84,FAILED,34
343332238,151.0,73.0,-51.66,FAILED,35
2756812092,151.0,109.0,-27.81,FAILED,36
4102742164,155.0,90.0,-41.94,FAILED,37
1440055438,151.0,73.0,-51.66,FAILED,38
4064325021,155.0,90.0,-41.94,FAILED,39
1040026147,152.0,58.0,-61.84,FAILED,40
1290827593,151.0,73.0,-51.66,FAILED,41
2221090888,152.0,58.0,-61.84,FAILED,42
3621737956,155.0,90.0,-41.94,FAILED,43
3267534106,151.0,73.0,-51.66,FAILED,44
2950706546,155.0,90.0,-41.94,FAILED,45
2124413061,151.0,73.0,-51.66,FAILED,46
957283921,155.0,90.0,-41.94,FAILED,47
3405922055,152.0,58.0,-61.84,FAILED,48
1945397770,151.0,109.0,-27.81,FAILED,49
1750365479,155.0,90.0,-41.94,FAILED,50
