SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,44,6,88.0,-5.289,6.631389564112518,152.46,144.34

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,152.0,148.0,-2.63,PASSED,1
3136625912,151.0,120.0,-20.53,FAILED,2
3929915461,151.0,156.0,3.31,PASSED,3
1202416571,155.0,130.0,-16.13,FAILED,4
2364296927,151.0,137.0,-9.27,PASSED,5
4048914527,155.0,139.0,-10.32,PASSED,6
245611477,155.0,149.0,-3.87,PASSED,7
889747142,151.0,137.0,-9.27,PASSED,8
895825300,151.0,150.0,-0.66,PASSED,9
1537731292,155.0,139.0,-10.32,PASSED,10
3805256479,151.0,137.0,-9.27,PASSED,11
3417776730,151.0,150.0,-0.66,PASSED,12
3455291829,151.0,150.0,-0.66,PASSED,13
3966897901,151.0,151.0,0.0,PASSED,14
385689091,152.0,149.0,-1.97,PASSED,15
2928191392,152.0,136.0,-10.53,PASSED,16
2769896855,152.0,148.0,-2.63,PASSED,17
350716878,152.0,134.0,-11.84,PASSED,18
2922301505,151.0,120.0,-20.53,FAILED,19
1417047792,151.0,150.0,-0.66,PASSED,20
3575888941,151.0,156.0,3.31,PASSED,21
3584571707,152.0,148.0,-2.63,PASSED,22
387571930,155.0,149.0,-3.87,PASSED,23
2400127562,155.0,137.0,-11.61,PASSED,24
1962563501,152.0,149.0,-1.97,PASSED,25
2311149461,155.0,139.0,-10.32,PASSED,26
1217076006,155.0,149.0,-3.87,PASSED,27
833115634,151.0,137.0,-9.27,PASSED,28
685136543,151.0,150.0,-0.66,PASSED,29
458209100,151.0,156.0,3.31,PASSED,30
3587010598,155.0,130.0,-16.13,FAILED,31
2207326226,152.0,154.0,1.32,PASSED,32
2018560162,152.0,154.0,1.32,PASSED,33
1180350208,152.0,148.0,-2.63,PASSED,34
343332238,151.0,151.0,0.0,PASSED,35
2756812092,151.0,150.0,-0.66,PASSED,36
4102742164,155.0,130.0,-16.13,FAILED,37
1440055438,151.0,156.0,3.31,PASSED,38
4064325021,155.0,139.0,-10.32,PASSED,39
1040026147,152.0,154.0,1.32,PASSED,40
1290827593,151.0,150.0,-0.66,PASSED,41
2221090888,152.0,134.0,-11.84,PASSED,42
3621737956,155.0,139.0,-10.32,PASSED,43
3267534106,151.0,150.0,-0.66,PASSED,44
2950706546,155.0,149.0,-3.87,PASSED,45
2124413061,151.0,156.0,3.31,PASSED,46
957283921,155.0,139.0,-10.32,PASSED,47
3405922055,152.0,154.0,1.32,PASSED,48
1945397770,151.0,150.0,-0.66,PASSED,49
1750365479,155.0,130.0,-16.13,FAILED,50
