SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,2,48,4.0,-43.48979999999999,16.717215187723493,148.34,83.88

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,145.0,33.0,-77.24,FAILED,1
3136625912,146.0,88.0,-39.73,FAILED,2
3929915461,147.0,84.0,-42.86,FAILED,3
1202416571,154.0,118.0,-23.38,FAILED,4
2364296927,146.0,84.0,-42.47,FAILED,5
4048914527,154.0,51.0,-66.88,FAILED,6
245611477,154.0,93.0,-39.61,FAILED,7
889747142,146.0,110.0,-24.66,FAILED,8
895825300,146.0,69.0,-52.74,FAILED,9
1537731292,154.0,78.0,-49.35,FAILED,10
3805256479,146.0,110.0,-24.66,FAILED,11
3417776730,147.0,127.0,-13.61,PASSED,12
3455291829,146.0,56.0,-61.64,FAILED,13
3966897901,147.0,83.0,-43.54,FAILED,14
385689091,145.0,37.0,-74.48,FAILED,15
2928191392,145.0,91.0,-37.24,FAILED,16
2769896855,145.0,33.0,-77.24,FAILED,17
350716878,145.0,85.0,-41.38,FAILED,18
2922301505,146.0,88.0,-39.73,FAILED,19
1417047792,146.0,56.0,-61.64,FAILED,20
3575888941,147.0,120.0,-18.37,FAILED,21
3584571707,145.0,115.0,-20.69,FAILED,22
387571930,154.0,93.0,-39.61,FAILED,23
2400127562,154.0,88.0,-42.86,FAILED,24
1962563501,145.0,37.0,-74.48,FAILED,25
2311149461,154.0,78.0,-49.35,FAILED,26
1217076006,154.0,93.0,-39.61,FAILED,27
833115634,146.0,84.0,-42.47,FAILED,28
685136543,146.0,69.0,-52.74,FAILED,29
458209100,147.0,84.0,-42.86,FAILED,30
3587010598,154.0,118.0,-23.38,FAILED,31
2207326226,145.0,79.0,-45.52,FAILED,32
2018560162,145.0,79.0,-45.52,FAILED,33
1180350208,145.0,115.0,-20.69,FAILED,34
343332238,147.0,83.0,-43.54,FAILED,35
2756812092,146.0,56.0,-61.64,FAILED,36
4102742164,154.0,118.0,-23.38,FAILED,37
1440055438,147.0,84.0,-42.86,FAILED,38
4064325021,154.0,51.0,-66.88,FAILED,39
1040026147,145.0,79.0,-45.52,FAILED,40
1290827593,147.0,119.0,-19.05,FAILED,41
2221090888,145.0,85.0,-41.38,FAILED,42
3621737956,154.0,51.0,-66.88,FAILED,43
3267534106,147.0,127.0,-13.61,PASSED,44
2950706546,154.0,93.0,-39.61,FAILED,45
2124413061,147.0,84.0,-42.86,FAILED,46
957283921,154.0,78.0,-49.35,FAILED,47
3405922055,145.0,75.0,-48.28,FAILED,48
1945397770,146.0,69.0,-52.74,FAILED,49
1750365479,154.0,116.0,-24.68,FAILED,50
