SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,39,11,78.0,-12.360999999999997,7.123882010390065,111.0,97.28

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,111.0,111.0,0.0,PASSED,1
3136625912,111.0,102.0,-8.11,PASSED,2
3929915461,111.0,102.0,-8.11,PASSED,3
1202416571,111.0,101.0,-9.01,PASSED,4
2364296927,111.0,97.0,-12.61,PASSED,5
4048914527,111.0,82.0,-26.13,FAILED,6
245611477,111.0,97.0,-12.61,PASSED,7
889747142,111.0,77.0,-30.63,FAILED,8
895825300,111.0,101.0,-9.01,PASSED,9
1537731292,111.0,97.0,-12.61,PASSED,10
3805256479,111.0,77.0,-30.63,FAILED,11
3417776730,111.0,105.0,-5.41,PASSED,12
3455291829,111.0,102.0,-8.11,PASSED,13
3966897901,111.0,91.0,-18.02,FAILED,14
385689091,111.0,102.0,-8.11,PASSED,15
2928191392,111.0,102.0,-8.11,PASSED,16
2769896855,111.0,111.0,0.0,PASSED,17
350716878,111.0,102.0,-8.11,PASSED,18
2922301505,111.0,102.0,-8.11,PASSED,19
1417047792,111.0,102.0,-8.11,PASSED,20
3575888941,111.0,101.0,-9.01,PASSED,21
3584571707,111.0,93.0,-16.22,FAILED,22
387571930,111.0,97.0,-12.61,PASSED,23
2400127562,111.0,77.0,-30.63,FAILED,24
1962563501,111.0,102.0,-8.11,PASSED,25
2311149461,111.0,97.0,-12.61,PASSED,26
1217076006,111.0,97.0,-12.61,PASSED,27
833115634,111.0,97.0,-12.61,PASSED,28
685136543,111.0,101.0,-9.01,PASSED,29
458209100,111.0,102.0,-8.11,PASSED,30
3587010598,111.0,101.0,-9.01,PASSED,31
2207326226,111.0,96.0,-13.51,PASSED,32
2018560162,111.0,96.0,-13.51,PASSED,33
1180350208,111.0,93.0,-16.22,FAILED,34
343332238,111.0,91.0,-18.02,FAILED,35
2756812092,111.0,102.0,-8.11,PASSED,36
4102742164,111.0,101.0,-9.01,PASSED,37
1440055438,111.0,102.0,-8.11,PASSED,38
4064325021,111.0,82.0,-26.13,FAILED,39
1040026147,111.0,96.0,-13.51,PASSED,40
1290827593,111.0,91.0,-18.02,FAILED,41
2221090888,111.0,102.0,-8.11,PASSED,42
3621737956,111.0,82.0,-26.13,FAILED,43
3267534106,111.0,105.0,-5.41,PASSED,44
2950706546,111.0,97.0,-12.61,PASSED,45
2124413061,111.0,102.0,-8.11,PASSED,46
957283921,111.0,97.0,-12.61,PASSED,47
3405922055,111.0,105.0,-5.41,PASSED,48
1945397770,111.0,101.0,-9.01,PASSED,49
1750365479,111.0,95.0,-14.41,PASSED,50
