SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,80.70739999999999,2.0172074149928263,1158.48,935.04

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,1102,913,82.85,FAILED,1
3136625912,1062,862,81.17,FAILED,2
3929915461,1362,1113,81.72,FAILED,3
1202416571,1151,896,77.85,FAILED,4
2364296927,1060,860,81.13,FAILED,5
4048914527,1152,897,77.86,FAILED,6
245611477,1148,893,77.79,FAILED,7
889747142,1061,861,81.15,FAILED,8
895825300,1059,859,81.11,FAILED,9
1537731292,1147,892,77.77,FAILED,10
3805256479,1061,861,81.15,FAILED,11
3417776730,1356,1107,81.64,FAILED,12
3455291829,1064,864,81.2,FAILED,13
3966897901,1359,1110,81.68,FAILED,14
385689091,1103,914,82.86,FAILED,15
2928191392,1105,916,82.9,FAILED,16
2769896855,1102,913,82.85,FAILED,17
350716878,1104,915,82.88,FAILED,18
2922301505,1062,862,81.17,FAILED,19
1417047792,1064,864,81.2,FAILED,20
3575888941,1357,1108,81.65,FAILED,21
3584571707,1107,918,82.93,FAILED,22
387571930,1148,893,77.79,FAILED,23
2400127562,1150,895,77.83,FAILED,24
1962563501,1103,914,82.86,FAILED,25
2311149461,1147,892,77.77,FAILED,26
1217076006,1148,893,77.79,FAILED,27
833115634,1060,860,81.13,FAILED,28
685136543,1059,859,81.11,FAILED,29
458209100,1362,1113,81.72,FAILED,30
3587010598,1151,896,77.85,FAILED,31
2207326226,1106,917,82.91,FAILED,32
2018560162,1106,917,82.91,FAILED,33
1180350208,1107,918,82.93,FAILED,34
343332238,1359,1110,81.68,FAILED,35
2756812092,1064,864,81.2,FAILED,36
4102742164,1151,896,77.85,FAILED,37
1440055438,1362,1113,81.72,FAILED,38
4064325021,1152,897,77.86,FAILED,39
1040026147,1106,917,82.91,FAILED,40
1290827593,1360,1111,81.69,FAILED,41
2221090888,1104,915,82.88,FAILED,42
3621737956,1152,897,77.86,FAILED,43
3267534106,1356,1107,81.64,FAILED,44
2950706546,1148,893,77.79,FAILED,45
2124413061,1362,1113,81.72,FAILED,46
957283921,1147,892,77.77,FAILED,47
3405922055,1101,912,82.83,FAILED,48
1945397770,1059,859,81.11,FAILED,49
1750365479,1146,891,77.75,FAILED,50
