SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,80.74380000000001,2.1806167354532464,839.84,679.22

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,944,795,84.22,FAILED,1
3136625912,768,616,80.21,FAILED,2
3929915461,768,614,79.95,FAILED,3
1202416571,857,675,78.76,FAILED,4
2364296927,766,614,80.16,FAILED,5
4048914527,858,676,78.79,FAILED,6
245611477,854,672,78.69,FAILED,7
889747142,767,615,80.18,FAILED,8
895825300,765,613,80.13,FAILED,9
1537731292,853,671,78.66,FAILED,10
3805256479,767,615,80.18,FAILED,11
3417776730,762,608,79.79,FAILED,12
3455291829,770,618,80.26,FAILED,13
3966897901,765,611,79.87,FAILED,14
385689091,945,796,84.23,FAILED,15
2928191392,947,798,84.27,FAILED,16
2769896855,944,795,84.22,FAILED,17
350716878,946,797,84.25,FAILED,18
2922301505,768,616,80.21,FAILED,19
1417047792,770,618,80.26,FAILED,20
3575888941,763,609,79.82,FAILED,21
3584571707,949,800,84.3,FAILED,22
387571930,854,672,78.69,FAILED,23
2400127562,856,674,78.74,FAILED,24
1962563501,945,796,84.23,FAILED,25
2311149461,853,671,78.66,FAILED,26
1217076006,854,672,78.69,FAILED,27
833115634,766,614,80.16,FAILED,28
685136543,765,613,80.13,FAILED,29
458209100,768,614,79.95,FAILED,30
3587010598,857,675,78.76,FAILED,31
2207326226,948,799,84.28,FAILED,32
2018560162,948,799,84.28,FAILED,33
1180350208,949,800,84.3,FAILED,34
343332238,765,611,79.87,FAILED,35
2756812092,770,618,80.26,FAILED,36
4102742164,857,675,78.76,FAILED,37
1440055438,768,614,79.95,FAILED,38
4064325021,858,676,78.79,FAILED,39
1040026147,948,799,84.28,FAILED,40
1290827593,766,612,79.9,FAILED,41
2221090888,946,797,84.25,FAILED,42
3621737956,858,676,78.79,FAILED,43
3267534106,762,608,79.79,FAILED,44
2950706546,854,672,78.69,FAILED,45
2124413061,768,614,79.95,FAILED,46
957283921,853,671,78.66,FAILED,47
3405922055,943,794,84.2,FAILED,48
1945397770,765,613,80.13,FAILED,49
1750365479,852,670,78.64,FAILED,50
