SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,71.33919999999999,2.071775182823481,776.3,554.28

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,764,555,72.64,FAILED,1
3136625912,742,527,71.02,FAILED,2
3929915461,744,535,71.91,FAILED,3
1202416571,838,617,73.63,FAILED,4
2364296927,740,521,70.41,FAILED,5
4048914527,839,627,74.73,FAILED,6
245611477,835,633,75.81,FAILED,7
889747142,741,504,68.02,FAILED,8
895825300,739,534,72.26,FAILED,9
1537731292,834,624,74.82,FAILED,10
3805256479,741,519,70.04,FAILED,11
3417776730,738,526,71.27,FAILED,12
3455291829,744,516,69.35,FAILED,13
3966897901,741,530,71.52,FAILED,14
385689091,765,518,67.71,FAILED,15
2928191392,767,540,70.4,FAILED,16
2769896855,764,532,69.63,FAILED,17
350716878,766,513,66.97,FAILED,18
2922301505,742,538,72.51,FAILED,19
1417047792,744,533,71.64,FAILED,20
3575888941,739,515,69.69,FAILED,21
3584571707,769,545,70.87,FAILED,22
387571930,835,609,72.93,FAILED,23
2400127562,837,607,72.52,FAILED,24
1962563501,765,529,69.15,FAILED,25
2311149461,834,612,73.38,FAILED,26
1217076006,835,593,71.02,FAILED,27
833115634,740,526,71.08,FAILED,28
685136543,739,516,69.82,FAILED,29
458209100,744,528,70.97,FAILED,30
3587010598,838,630,75.18,FAILED,31
2207326226,768,526,68.49,FAILED,32
2018560162,768,528,68.75,FAILED,33
1180350208,769,532,69.18,FAILED,34
343332238,741,528,71.26,FAILED,35
2756812092,744,519,69.76,FAILED,36
4102742164,838,619,73.87,FAILED,37
1440055438,744,538,72.31,FAILED,38
4064325021,839,608,72.47,FAILED,39
1040026147,768,535,69.66,FAILED,40
1290827593,742,526,70.89,FAILED,41
2221090888,766,539,70.37,FAILED,42
3621737956,839,609,72.59,FAILED,43
3267534106,738,519,70.33,FAILED,44
2950706546,835,619,74.13,FAILED,45
2124413061,744,540,72.58,FAILED,46
957283921,834,607,72.78,FAILED,47
3405922055,763,520,68.15,FAILED,48
1945397770,739,552,74.7,FAILED,49
1750365479,833,598,71.79,FAILED,50
