SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,2,48,4.0,16.977400000000003,1.1246601482134913,515.34,87.5

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,512,87,16.99,FAILED,1
3136625912,516,90,17.44,FAILED,2
3929915461,518,86,16.6,FAILED,3
1202416571,518,92,17.76,FAILED,4
2364296927,514,82,15.95,FAILED,5
4048914527,519,94,18.11,FAILED,6
245611477,515,86,16.7,FAILED,7
889747142,515,96,18.64,FAILED,8
895825300,513,93,18.13,FAILED,9
1537731292,514,90,17.51,FAILED,10
3805256479,515,93,18.06,FAILED,11
3417776730,512,73,14.26,PASSED,12
3455291829,518,97,18.73,FAILED,13
3966897901,515,76,14.76,PASSED,14
385689091,513,81,15.79,FAILED,15
2928191392,515,94,18.25,FAILED,16
2769896855,512,91,17.77,FAILED,17
350716878,514,84,16.34,FAILED,18
2922301505,516,98,18.99,FAILED,19
1417047792,518,91,17.57,FAILED,20
3575888941,513,85,16.57,FAILED,21
3584571707,517,84,16.25,FAILED,22
387571930,515,82,15.92,FAILED,23
2400127562,517,89,17.21,FAILED,24
1962563501,513,81,15.79,FAILED,25
2311149461,514,87,16.93,FAILED,26
1217076006,515,88,17.09,FAILED,27
833115634,514,99,19.26,FAILED,28
685136543,513,94,18.32,FAILED,29
458209100,518,88,16.99,FAILED,30
3587010598,518,92,17.76,FAILED,31
2207326226,516,81,15.7,FAILED,32
2018560162,516,87,16.86,FAILED,33
1180350208,517,91,17.6,FAILED,34
343332238,515,78,15.15,FAILED,35
2756812092,518,96,18.53,FAILED,36
4102742164,518,85,16.41,FAILED,37
1440055438,518,90,17.37,FAILED,38
4064325021,519,94,18.11,FAILED,39
1040026147,516,81,15.7,FAILED,40
1290827593,516,83,16.09,FAILED,41
2221090888,514,86,16.73,FAILED,42
3621737956,519,92,17.73,FAILED,43
3267534106,512,81,15.82,FAILED,44
2950706546,515,83,16.12,FAILED,45
2124413061,518,89,17.18,FAILED,46
957283921,514,80,15.56,FAILED,47
3405922055,511,81,15.85,FAILED,48
1945397770,513,85,16.57,FAILED,49
1750365479,513,89,17.35,FAILED,50
