SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
50,15,35,30.0,-22.3602,12.508406722468449,123.94,96.34

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
1161204875,130.0,96.0,-26.15,FAILED,1
3136625912,121.0,93.0,-23.14,FAILED,2
3929915461,121.0,101.0,-16.53,FAILED,3
1202416571,123.0,109.0,-11.38,PASSED,4
2364296927,121.0,51.0,-57.85,FAILED,5
4048914527,123.0,98.0,-20.33,FAILED,6
245611477,123.0,79.0,-35.77,FAILED,7
889747142,121.0,74.0,-38.84,FAILED,8
895825300,121.0,76.0,-37.19,FAILED,9
1537731292,123.0,114.0,-7.32,PASSED,10
3805256479,121.0,74.0,-38.84,FAILED,11
3417776730,121.0,103.0,-14.88,PASSED,12
3455291829,121.0,111.0,-8.26,PASSED,13
3966897901,121.0,82.0,-32.23,FAILED,14
385689091,130.0,109.0,-16.15,FAILED,15
2928191392,130.0,118.0,-9.23,PASSED,16
2769896855,130.0,96.0,-26.15,FAILED,17
350716878,130.0,103.0,-20.77,FAILED,18
2922301505,121.0,93.0,-23.14,FAILED,19
1417047792,121.0,111.0,-8.26,PASSED,20
3575888941,121.0,95.0,-21.49,FAILED,21
3584571707,130.0,113.0,-13.08,PASSED,22
387571930,123.0,79.0,-35.77,FAILED,23
2400127562,123.0,75.0,-39.02,FAILED,24
1962563501,130.0,109.0,-16.15,FAILED,25
2311149461,123.0,114.0,-7.32,PASSED,26
1217076006,123.0,79.0,-35.77,FAILED,27
833115634,121.0,51.0,-57.85,FAILED,28
685136543,121.0,76.0,-37.19,FAILED,29
458209100,121.0,101.0,-16.53,FAILED,30
3587010598,123.0,109.0,-11.38,PASSED,31
2207326226,130.0,110.0,-15.38,FAILED,32
2018560162,130.0,110.0,-15.38,FAILED,33
1180350208,130.0,113.0,-13.08,PASSED,34
343332238,121.0,82.0,-32.23,FAILED,35
2756812092,121.0,111.0,-8.26,PASSED,36
4102742164,123.0,109.0,-11.38,PASSED,37
1440055438,121.0,101.0,-16.53,FAILED,38
4064325021,123.0,98.0,-20.33,FAILED,39
1040026147,130.0,110.0,-15.38,FAILED,40
1290827593,121.0,113.0,-6.61,PASSED,41
2221090888,130.0,103.0,-20.77,FAILED,42
3621737956,123.0,98.0,-20.33,FAILED,43
3267534106,121.0,103.0,-14.88,PASSED,44
2950706546,123.0,79.0,-35.77,FAILED,45
2124413061,121.0,101.0,-16.53,FAILED,46
957283921,123.0,114.0,-7.32,PASSED,47
3405922055,130.0,101.0,-22.31,FAILED,48
1945397770,121.0,76.0,-37.19,FAILED,49
1750365479,123.0,93.0,-24.39,FAILED,50
