SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,61.21679999999999,1.5667546595639363,776.3,475.52

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,764,459,60.08,FAILED,1
3136625912,742,434,58.49,FAILED,2
3929915461,744,458,61.56,FAILED,3
1202416571,838,518,61.81,FAILED,4
2364296927,740,450,60.81,FAILED,5
4048914527,839,533,63.53,FAILED,6
245611477,835,533,63.83,FAILED,7
889747142,741,443,59.78,FAILED,8
895825300,739,445,60.22,FAILED,9
1537731292,834,499,59.83,FAILED,10
3805256479,741,460,62.08,FAILED,11
3417776730,738,444,60.16,FAILED,12
3455291829,744,434,58.33,FAILED,13
3966897901,741,456,61.54,FAILED,14
385689091,765,473,61.83,FAILED,15
2928191392,767,471,61.41,FAILED,16
2769896855,764,447,58.51,FAILED,17
350716878,766,474,61.88,FAILED,18
2922301505,742,443,59.7,FAILED,19
1417047792,744,453,60.89,FAILED,20
3575888941,739,458,61.98,FAILED,21
3584571707,769,457,59.43,FAILED,22
387571930,835,516,61.8,FAILED,23
2400127562,837,523,62.49,FAILED,24
1962563501,765,465,60.78,FAILED,25
2311149461,834,519,62.23,FAILED,26
1217076006,835,515,61.68,FAILED,27
833115634,740,442,59.73,FAILED,28
685136543,739,433,58.59,FAILED,29
458209100,744,457,61.42,FAILED,30
3587010598,838,527,62.89,FAILED,31
2207326226,768,457,59.51,FAILED,32
2018560162,768,488,63.54,FAILED,33
1180350208,769,476,61.9,FAILED,34
343332238,741,452,61.0,FAILED,35
2756812092,744,440,59.14,FAILED,36
4102742164,838,517,61.69,FAILED,37
1440055438,744,461,61.96,FAILED,38
4064325021,839,526,62.69,FAILED,39
1040026147,768,473,61.59,FAILED,40
1290827593,742,460,61.99,FAILED,41
2221090888,766,465,60.7,FAILED,42
3621737956,839,539,64.24,FAILED,43
3267534106,738,436,59.08,FAILED,44
2950706546,835,527,63.11,FAILED,45
2124413061,744,475,63.84,FAILED,46
957283921,834,490,58.75,FAILED,47
3405922055,763,467,61.21,FAILED,48
1945397770,739,458,61.98,FAILED,49
1750365479,833,530,63.63,FAILED,50
