SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,4,46,8.0,16.9982,1.4568945026448328,515.34,87.6

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,512,90,17.58,FAILED,1
3136625912,516,83,16.09,FAILED,2
3929915461,518,81,15.64,FAILED,3
1202416571,518,80,15.44,FAILED,4
2364296927,514,84,16.34,FAILED,5
4048914527,519,92,17.73,FAILED,6
245611477,515,105,20.39,FAILED,7
889747142,515,83,16.12,FAILED,8
895825300,513,89,17.35,FAILED,9
1537731292,514,87,16.93,FAILED,10
3805256479,515,97,18.83,FAILED,11
3417776730,512,87,16.99,FAILED,12
3455291829,518,84,16.22,FAILED,13
3966897901,515,83,16.12,FAILED,14
385689091,513,96,18.71,FAILED,15
2928191392,515,89,17.28,FAILED,16
2769896855,512,82,16.02,FAILED,17
350716878,514,87,16.93,FAILED,18
2922301505,516,88,17.05,FAILED,19
1417047792,518,94,18.15,FAILED,20
3575888941,513,91,17.74,FAILED,21
3584571707,517,79,15.28,FAILED,22
387571930,515,87,16.89,FAILED,23
2400127562,517,102,19.73,FAILED,24
1962563501,513,82,15.98,FAILED,25
2311149461,514,90,17.51,FAILED,26
1217076006,515,87,16.89,FAILED,27
833115634,514,75,14.59,PASSED,28
685136543,513,84,16.37,FAILED,29
458209100,518,88,16.99,FAILED,30
3587010598,518,86,16.6,FAILED,31
2207326226,516,98,18.99,FAILED,32
2018560162,516,78,15.12,FAILED,33
1180350208,517,98,18.96,FAILED,34
343332238,515,83,16.12,FAILED,35
2756812092,518,80,15.44,FAILED,36
4102742164,518,92,17.76,FAILED,37
1440055438,518,90,17.37,FAILED,38
4064325021,519,86,16.57,FAILED,39
1040026147,516,92,17.83,FAILED,40
1290827593,516,93,18.02,FAILED,41
2221090888,514,90,17.51,FAILED,42
3621737956,519,97,18.69,FAILED,43
3267534106,512,73,14.26,PASSED,44
2950706546,515,90,17.48,FAILED,45
2124413061,518,75,14.48,PASSED,46
957283921,514,107,20.82,FAILED,47
3405922055,511,73,14.29,PASSED,48
1945397770,513,85,16.57,FAILED,49
1750365479,513,88,17.15,FAILED,50
