SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,28.7568,2.304701884303088,776.3,223.3

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,764,234,30.63,FAILED,1
3136625912,742,187,25.2,FAILED,2
3929915461,744,231,31.05,FAILED,3
1202416571,838,240,28.64,FAILED,4
2364296927,740,185,25.0,FAILED,5
4048914527,839,240,28.61,FAILED,6
245611477,835,238,28.5,FAILED,7
889747142,741,186,25.1,FAILED,8
895825300,739,185,25.03,FAILED,9
1537731292,834,238,28.54,FAILED,10
3805256479,741,186,25.1,FAILED,11
3417776730,738,230,31.17,FAILED,12
3455291829,744,187,25.13,FAILED,13
3966897901,741,231,31.17,FAILED,14
385689091,765,234,30.59,FAILED,15
2928191392,767,234,30.51,FAILED,16
2769896855,764,234,30.63,FAILED,17
350716878,766,234,30.55,FAILED,18
2922301505,742,187,25.2,FAILED,19
1417047792,744,187,25.13,FAILED,20
3575888941,739,229,30.99,FAILED,21
3584571707,769,234,30.43,FAILED,22
387571930,835,238,28.5,FAILED,23
2400127562,837,238,28.43,FAILED,24
1962563501,765,234,30.59,FAILED,25
2311149461,834,238,28.54,FAILED,26
1217076006,835,238,28.5,FAILED,27
833115634,740,185,25.0,FAILED,28
685136543,739,185,25.03,FAILED,29
458209100,744,231,31.05,FAILED,30
3587010598,838,240,28.64,FAILED,31
2207326226,768,235,30.6,FAILED,32
2018560162,768,235,30.6,FAILED,33
1180350208,769,234,30.43,FAILED,34
343332238,741,231,31.17,FAILED,35
2756812092,744,187,25.13,FAILED,36
4102742164,838,240,28.64,FAILED,37
1440055438,744,231,31.05,FAILED,38
4064325021,839,240,28.61,FAILED,39
1040026147,768,235,30.6,FAILED,40
1290827593,742,231,31.13,FAILED,41
2221090888,766,234,30.55,FAILED,42
3621737956,839,240,28.61,FAILED,43
3267534106,738,230,31.17,FAILED,44
2950706546,835,238,28.5,FAILED,45
2124413061,744,231,31.05,FAILED,46
957283921,834,238,28.54,FAILED,47
3405922055,763,235,30.8,FAILED,48
1945397770,739,185,25.03,FAILED,49
1750365479,833,237,28.45,FAILED,50
