SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
50,0,50,0.0,27.858200000000007,0.6028662490849148,515.34,143.56

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
1161204875,512,146,28.52,FAILED,1
3136625912,516,139,26.94,FAILED,2
3929915461,518,146,28.19,FAILED,3
1202416571,518,144,27.8,FAILED,4
2364296927,514,139,27.04,FAILED,5
4048914527,519,144,27.75,FAILED,6
245611477,515,143,27.77,FAILED,7
889747142,515,139,26.99,FAILED,8
895825300,513,138,26.9,FAILED,9
1537731292,514,143,27.82,FAILED,10
3805256479,515,139,26.99,FAILED,11
3417776730,512,144,28.12,FAILED,12
3455291829,518,139,26.83,FAILED,13
3966897901,515,146,28.35,FAILED,14
385689091,513,147,28.65,FAILED,15
2928191392,515,146,28.35,FAILED,16
2769896855,512,146,28.52,FAILED,17
350716878,514,146,28.4,FAILED,18
2922301505,516,139,26.94,FAILED,19
1417047792,518,139,26.83,FAILED,20
3575888941,513,146,28.46,FAILED,21
3584571707,517,148,28.63,FAILED,22
387571930,515,143,27.77,FAILED,23
2400127562,517,143,27.66,FAILED,24
1962563501,513,147,28.65,FAILED,25
2311149461,514,143,27.82,FAILED,26
1217076006,515,143,27.77,FAILED,27
833115634,514,139,27.04,FAILED,28
685136543,513,138,26.9,FAILED,29
458209100,518,146,28.19,FAILED,30
3587010598,518,144,27.8,FAILED,31
2207326226,516,147,28.49,FAILED,32
2018560162,516,147,28.49,FAILED,33
1180350208,517,148,28.63,FAILED,34
343332238,515,146,28.35,FAILED,35
2756812092,518,139,26.83,FAILED,36
4102742164,518,144,27.8,FAILED,37
1440055438,518,146,28.19,FAILED,38
4064325021,519,144,27.75,FAILED,39
1040026147,516,147,28.49,FAILED,40
1290827593,516,146,28.29,FAILED,41
2221090888,514,146,28.4,FAILED,42
3621737956,519,144,27.75,FAILED,43
3267534106,512,144,28.12,FAILED,44
2950706546,515,143,27.77,FAILED,45
2124413061,518,146,28.19,FAILED,46
957283921,514,143,27.82,FAILED,47
3405922055,511,145,28.38,FAILED,48
1945397770,513,138,26.9,FAILED,49
1750365479,513,143,27.88,FAILED,50
