SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
1000,0,1000,0.0,80.86039,1.9792017045483985,1161.915,939.583

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
3010340306,1064,864,81.2,FAILED,1
3589128254,1062,862,81.17,FAILED,2
2796806531,1359,1110,81.68,FAILED,3
1405269617,1149,894,77.81,FAILED,4
246263191,1149,894,77.81,FAILED,5
887256621,1058,858,81.1,FAILED,6
4269475548,1103,914,82.86,FAILED,7
2207458638,1102,913,82.85,FAILED,8
830938667,1063,863,81.19,FAILED,9
3299762677,1103,914,82.86,FAILED,10
780597962,1150,895,77.83,FAILED,11
667697194,1101,912,82.83,FAILED,12
2896029988,1358,1109,81.66,FAILED,13
3776314382,1360,1111,81.69,FAILED,14
252363740,1063,863,81.19,FAILED,15
2176170482,1058,858,81.1,FAILED,16
260386183,1102,913,82.85,FAILED,17
444457322,1361,1112,81.7,FAILED,18
2412042732,1101,912,82.83,FAILED,19
17981240,1358,1109,81.66,FAILED,20
3089284,1152,897,77.86,FAILED,21
790076783,1105,916,82.9,FAILED,22
1359576573,1359,1110,81.68,FAILED,23
4089063304,1058,858,81.1,FAILED,24
2409276306,1103,914,82.86,FAILED,25
1087792198,1151,896,77.85,FAILED,26
1179076076,1149,894,77.81,FAILED,27
665056242,1358,1109,81.66,FAILED,28
717247435,1106,917,82.91,FAILED,29
2160217739,1106,917,82.91,FAILED,30
800504601,1362,1113,81.72,FAILED,31
579866052,1145,890,77.73,FAILED,32
831508989,1061,861,81.15,FAILED,33
2921195892,1061,861,81.15,FAILED,34
39372797,1059,859,81.11,FAILED,35
4233951908,1150,895,77.83,FAILED,36
3680139069,1058,858,81.1,FAILED,37
3827932880,1104,915,82.88,FAILED,38
3331445987,1107,918,82.93,FAILED,39
460964647,1356,1107,81.64,FAILED,40
634862881,1151,896,77.85,FAILED,41
2499662342,1060,860,81.13,FAILED,42
943360430,1357,1108,81.65,FAILED,43
975616734,1102,913,82.85,FAILED,44
3077017956,1150,895,77.83,FAILED,45
3833799001,1148,893,77.79,FAILED,46
2748644972,1357,1108,81.65,FAILED,47
2634637107,1145,890,77.73,FAILED,48
2787781036,1063,863,81.19,FAILED,49
2395994670,1151,896,77.85,FAILED,50
314040825,1106,917,82.91,FAILED,51
264925134,1146,891,77.75,FAILED,52
2458315711,1107,918,82.93,FAILED,53
1504865630,1105,916,82.9,FAILED,54
1843396817,1151,896,77.85,FAILED,55
857484129,1103,914,82.86,FAILED,56
1878819069,1060,860,81.13,FAILED,57
3954697599,1060,860,81.13,FAILED,58
1815784675,1150,895,77.83,FAILED,59
1338479985,1105,916,82.9,FAILED,60
2612165812,1149,894,77.81,FAILED,61
3341337058,1107,918,82.93,FAILED,62
384819278,1360,1111,81.69,FAILED,63
2478891503,1064,864,81.2,FAILED,64
60597586,1147,892,77.77,FAILED,65
1723970588,1357,1108,81.65,FAILED,66
1923867721,1102,913,82.85,FAILED,67
2578715831,1102,913,82.85,FAILED,68
1863585133,1103,914,82.86,FAILED,69
3078676755,1359,1110,81.68,FAILED,70
2525971795,1060,860,81.13,FAILED,71
2613901292,1105,916,82.9,FAILED,72
2289100450,1102,913,82.85,FAILED,73
654496741,1108,919,82.94,FAILED,74
3655338972,1149,894,77.81,FAILED,75
1401756804,1063,863,81.19,FAILED,76
814454967,1063,863,81.19,FAILED,77
631095187,1105,916,82.9,FAILED,78
3687598068,1147,892,77.77,FAILED,79
2853039268,1103,914,82.86,FAILED,80
3067923016,1103,914,82.86,FAILED,81
266735766,1102,913,82.85,FAILED,82
757024716,1148,893,77.79,FAILED,83
2115899821,1108,919,82.94,FAILED,84
1324933983,1102,913,82.85,FAILED,85
3134792159,1103,914,82.86,FAILED,86
1059345558,1356,1107,81.64,FAILED,87
3184983313,1106,917,82.91,FAILED,88
193504901,1145,890,77.73,FAILED,89
797805661,1103,914,82.86,FAILED,90
2881737105,1356,1107,81.64,FAILED,91
1879752970,1060,860,81.13,FAILED,92
178170755,1103,914,82.86,FAILED,93
1381286929,1152,897,77.86,FAILED,94
3488905429,1146,891,77.75,FAILED,95
1664611878,1062,862,81.17,FAILED,96
916158973,1104,915,82.88,FAILED,97
2175944305,1148,893,77.79,FAILED,98
220316452,1058,858,81.1,FAILED,99
3282014929,1102,913,82.85,FAILED,100
1024011489,1063,863,81.19,FAILED,101
763815214,1357,1108,81.65,FAILED,102
1598256972,1148,893,77.79,FAILED,103
1953871572,1148,893,77.79,FAILED,104
944556052,1360,1111,81.69,FAILED,105
488273600,1105,916,82.9,FAILED,106
4021691332,1104,915,82.88,FAILED,107
2276597586,1152,897,77.86,FAILED,108
2485719971,1151,896,77.85,FAILED,109
3062111820,1106,917,82.91,FAILED,110
3602097958,1107,918,82.93,FAILED,111
1969874727,1063,863,81.19,FAILED,112
1372503400,1149,894,77.81,FAILED,113
1161448411,1104,915,82.88,FAILED,114
1611915162,1107,918,82.93,FAILED,115
692724466,1358,1109,81.66,FAILED,116
1468525051,1357,1108,81.65,FAILED,117
4049743439,1147,892,77.77,FAILED,118
2039780143,1102,913,82.85,FAILED,119
446184463,1146,891,77.75,FAILED,120
1953927625,1106,917,82.91,FAILED,121
2217865820,1058,858,81.1,FAILED,122
1850930694,1058,858,81.1,FAILED,123
2974623184,1059,859,81.11,FAILED,124
1900534865,1358,1109,81.66,FAILED,125
3583153125,1148,893,77.79,FAILED,126
4123179195,1104,915,82.88,FAILED,127
2050342926,1062,862,81.17,FAILED,128
670131296,1360,1111,81.69,FAILED,129
618813365,1101,912,82.83,FAILED,130
619819194,1145,890,77.73,FAILED,131
12876959,1058,858,81.1,FAILED,132
3777104187,1146,891,77.75,FAILED,133
459026542,1147,892,77.77,FAILED,134
3203322008,1062,862,81.17,FAILED,135
2006595403,1102,913,82.85,FAILED,136
1486755371,1362,1113,81.72,FAILED,137
2878523264,1358,1109,81.66,FAILED,138
410601370,1152,897,77.86,FAILED,139
167488233,1108,919,82.94,FAILED,140
2799709474,1058,858,81.1,FAILED,141
265571151,1359,1110,81.68,FAILED,142
4044450997,1102,913,82.85,FAILED,143
2753207616,1062,862,81.17,FAILED,144
4224174766,1106,917,82.91,FAILED,145
4044042260,1147,892,77.77,FAILED,146
2220996729,1108,919,82.94,FAILED,147
3423172507,1357,1108,81.65,FAILED,148
4089658775,1103,914,82.86,FAILED,149
1253046045,1150,895,77.83,FAILED,150
1882051008,1101,912,82.83,FAILED,151
4216557561,1148,893,77.79,FAILED,152
187446138,1064,864,81.2,FAILED,153
587395381,1102,913,82.85,FAILED,154
3866407836,1147,892,77.77,FAILED,155
3083300786,1102,913,82.85,FAILED,156
2406711673,1152,897,77.86,FAILED,157
1068535433,1108,919,82.94,FAILED,158
2587645349,1152,897,77.86,FAILED,159
4162700075,1108,919,82.94,FAILED,160
2190399896,1356,1107,81.64,FAILED,161
3289125005,1358,1109,81.66,FAILED,162
2475827923,1104,915,82.88,FAILED,163
1942188498,1107,918,82.93,FAILED,164
2422022754,1151,896,77.85,FAILED,165
2816380393,1360,1111,81.69,FAILED,166
513633237,1150,895,77.83,FAILED,167
3247839967,1061,861,81.15,FAILED,168
634878361,1108,919,82.94,FAILED,169
1366786907,1104,915,82.88,FAILED,170
1581739961,1058,858,81.1,FAILED,171
1551050275,1145,890,77.73,FAILED,172
1269831692,1356,1107,81.64,FAILED,173
443691479,1106,917,82.91,FAILED,174
1832330157,1148,893,77.79,FAILED,175
2118443267,1150,895,77.83,FAILED,176
476999162,1106,917,82.91,FAILED,177
3052251046,1062,862,81.17,FAILED,178
1857914822,1152,897,77.86,FAILED,179
3146486780,1150,895,77.83,FAILED,180
717009728,1359,1110,81.68,FAILED,181
4078913041,1063,863,81.19,FAILED,182
2350498106,1358,1109,81.66,FAILED,183
3750494455,1059,859,81.11,FAILED,184
1562293516,1150,895,77.83,FAILED,185
2705188674,1108,919,82.94,FAILED,186
2154989807,1146,891,77.75,FAILED,187
1052344277,1149,894,77.81,FAILED,188
1211428942,1146,891,77.75,FAILED,189
3809806294,1150,895,77.83,FAILED,190
2506445208,1064,864,81.2,FAILED,191
3004977934,1101,912,82.83,FAILED,192
3563113208,1358,1109,81.66,FAILED,193
1459324882,1357,1108,81.65,FAILED,194
3596357134,1060,860,81.13,FAILED,195
13711865,1356,1107,81.64,FAILED,196
