SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
1000,728,272,72.8,-17.01868,22.606264677302626,152.38,126.108

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
3010340306,151.0,131.0,-13.25,PASSED,1
3589128254,151.0,131.0,-13.25,PASSED,2
2796806531,151.0,153.0,1.32,PASSED,3
1405269617,155.0,73.0,-52.9,FAILED,4
246263191,155.0,73.0,-52.9,FAILED,5
887256621,151.0,131.0,-13.25,PASSED,6
4269475548,152.0,152.0,0.0,PASSED,7
2207458638,152.0,152.0,0.0,PASSED,8
830938667,151.0,131.0,-13.25,PASSED,9
3299762677,152.0,152.0,0.0,PASSED,10
780597962,155.0,73.0,-52.9,FAILED,11
667697194,152.0,152.0,0.0,PASSED,12
2896029988,151.0,153.0,1.32,PASSED,13
3776314382,151.0,153.0,1.32,PASSED,14
252363740,151.0,131.0,-13.25,PASSED,15
2176170482,151.0,131.0,-13.25,PASSED,16
260386183,152.0,152.0,0.0,PASSED,17
444457322,151.0,153.0,1.32,PASSED,18
2412042732,152.0,152.0,0.0,PASSED,19
17981240,151.0,153.0,1.32,PASSED,20
3089284,155.0,73.0,-52.9,FAILED,21
790076783,152.0,152.0,0.0,PASSED,22
1359576573,151.0,153.0,1.32,PASSED,23
4089063304,151.0,131.0,-13.25,PASSED,24
2409276306,152.0,152.0,0.0,PASSED,25
1087792198,155.0,73.0,-52.9,FAILED,26
1179076076,155.0,73.0,-52.9,FAILED,27
665056242,151.0,153.0,1.32,PASSED,28
717247435,152.0,152.0,0.0,PASSED,29
2160217739,152.0,152.0,0.0,PASSED,30
800504601,151.0,153.0,1.32,PASSED,31
579866052,155.0,73.0,-52.9,FAILED,32
831508989,151.0,131.0,-13.25,PASSED,33
2921195892,151.0,131.0,-13.25,PASSED,34
39372797,151.0,131.0,-13.25,PASSED,35
4233951908,155.0,73.0,-52.9,FAILED,36
3680139069,151.0,131.0,-13.25,PASSED,37
3827932880,152.0,152.0,0.0,PASSED,38
3331445987,152.0,152.0,0.0,PASSED,39
460964647,151.0,153.0,1.32,PASSED,40
634862881,155.0,73.0,-52.9,FAILED,41
2499662342,151.0,131.0,-13.25,PASSED,42
943360430,151.0,153.0,1.32,PASSED,43
975616734,152.0,152.0,0.0,PASSED,44
3077017956,155.0,73.0,-52.9,FAILED,45
3833799001,155.0,73.0,-52.9,FAILED,46
2748644972,151.0,153.0,1.32,PASSED,47
2634637107,155.0,73.0,-52.9,FAILED,48
2787781036,151.0,131.0,-13.25,PASSED,49
2395994670,155.0,73.0,-52.9,FAILED,50
314040825,152.0,152.0,0.0,PASSED,51
264925134,155.0,73.0,-52.9,FAILED,52
2458315711,152.0,152.0,0.0,PASSED,53
1504865630,152.0,152.0,0.0,PASSED,54
1843396817,155.0,73.0,-52.9,FAILED,55
857484129,152.0,152.0,0.0,PASSED,56
1878819069,151.0,131.0,-13.25,PASSED,57
3954697599,151.0,131.0,-13.25,PASSED,58
1815784675,155.0,73.0,-52.9,FAILED,59
1338479985,152.0,152.0,0.0,PASSED,60
2612165812,155.0,73.0,-52.9,FAILED,61
3341337058,152.0,152.0,0.0,PASSED,62
384819278,151.0,153.0,1.32,PASSED,63
2478891503,151.0,131.0,-13.25,PASSED,64
60597586,155.0,73.0,-52.9,FAILED,65
1723970588,151.0,153.0,1.32,PASSED,66
1923867721,152.0,152.0,0.0,PASSED,67
2578715831,152.0,152.0,0.0,PASSED,68
1863585133,152.0,152.0,0.0,PASSED,69
3078676755,151.0,153.0,1.32,PASSED,70
2525971795,151.0,131.0,-13.25,PASSED,71
2613901292,152.0,152.0,0.0,PASSED,72
2289100450,152.0,152.0,0.0,PASSED,73
654496741,152.0,152.0,0.0,PASSED,74
3655338972,155.0,73.0,-52.9,FAILED,75
1401756804,151.0,131.0,-13.25,PASSED,76
814454967,151.0,131.0,-13.25,PASSED,77
631095187,152.0,152.0,0.0,PASSED,78
3687598068,155.0,73.0,-52.9,FAILED,79
2853039268,152.0,152.0,0.0,PASSED,80
3067923016,152.0,152.0,0.0,PASSED,81
266735766,152.0,152.0,0.0,PASSED,82
757024716,155.0,73.0,-52.9,FAILED,83
2115899821,152.0,152.0,0.0,PASSED,84
1324933983,152.0,152.0,0.0,PASSED,85
3134792159,152.0,152.0,0.0,PASSED,86
1059345558,151.0,153.0,1.32,PASSED,87
3184983313,152.0,152.0,0.0,PASSED,88
193504901,155.0,73.0,-52.9,FAILED,89
797805661,152.0,152.0,0.0,PASSED,90
2881737105,151.0,153.0,1.32,PASSED,91
1879752970,151.0,131.0,-13.25,PASSED,92
178170755,152.0,152.0,0.0,PASSED,93
1381286929,155.0,73.0,-52.9,FAILED,94
3488905429,155.0,73.0,-52.9,FAILED,95
1664611878,151.0,131.0,-13.25,PASSED,96
916158973,152.0,152.0,0.0,PASSED,97
2175944305,155.0,73.0,-52.9,FAILED,98
220316452,151.0,131.0,-13.25,PASSED,99
3282014929,152.0,152.0,0.0,PASSED,100
1024011489,151.0,131.0,-13.25,PASSED,101
763815214,151.0,153.0,1.32,PASSED,102
1598256972,155.0,73.0,-52.9,FAILED,103
1953871572,155.0,73.0,-52.9,FAILED,104
944556052,151.0,153.0,1.32,PASSED,105
488273600,152.0,152.0,0.0,PASSED,106
4021691332,152.0,152.0,0.0,PASSED,107
2276597586,155.0,73.0,-52.9,FAILED,108
2485719971,155.0,73.0,-52.9,FAILED,109
3062111820,152.0,152.0,0.0,PASSED,110
3602097958,152.0,152.0,0.0,PASSED,111
1969874727,151.0,131.0,-13.25,PASSED,112
1372503400,155.0,73.0,-52.9,FAILED,113
1161448411,152.0,152.0,0.0,PASSED,114
1611915162,152.0,152.0,0.0,PASSED,115
692724466,151.0,153.0,1.32,PASSED,116
1468525051,151.0,153.0,1.32,PASSED,117
4049743439,155.0,73.0,-52.9,FAILED,118
2039780143,152.0,152.0,0.0,PASSED,119
446184463,155.0,73.0,-52.9,FAILED,120
1953927625,152.0,152.0,0.0,PASSED,121
2217865820,151.0,131.0,-13.25,PASSED,122
1850930694,151.0,131.0,-13.25,PASSED,123
2974623184,151.0,131.0,-13.25,PASSED,124
1900534865,151.0,153.0,1.32,PASSED,125
3583153125,155.0,73.0,-52.9,FAILED,126
4123179195,152.0,152.0,0.0,PASSED,127
2050342926,151.0,131.0,-13.25,PASSED,128
670131296,151.0,153.0,1.32,PASSED,129
618813365,152.0,152.0,0.0,PASSED,130
619819194,155.0,73.0,-52.9,FAILED,131
12876959,151.0,131.0,-13.25,PASSED,132
3777104187,155.0,73.0,-52.9,FAILED,133
459026542,155.0,73.0,-52.9,FAILED,134
3203322008,151.0,131.0,-13.25,PASSED,135
2006595403,152.0,152.0,0.0,PASSED,136
1486755371,151.0,153.0,1.32,PASSED,137
2878523264,151.0,153.0,1.32,PASSED,138
410601370,155.0,73.0,-52.9,FAILED,139
167488233,152.0,152.0,0.0,PASSED,140
2799709474,151.0,131.0,-13.25,PASSED,141
265571151,151.0,153.0,1.32,PASSED,142
4044450997,152.0,152.0,0.0,PASSED,143
2753207616,151.0,131.0,-13.25,PASSED,144
4224174766,152.0,152.0,0.0,PASSED,145
4044042260,155.0,73.0,-52.9,FAILED,146
2220996729,152.0,152.0,0.0,PASSED,147
3423172507,151.0,153.0,1.32,PASSED,148
4089658775,152.0,152.0,0.0,PASSED,149
1253046045,155.0,73.0,-52.9,FAILED,150
1882051008,152.0,152.0,0.0,PASSED,151
4216557561,155.0,73.0,-52.9,FAILED,152
187446138,151.0,131.0,-13.25,PASSED,153
587395381,152.0,152.0,0.0,PASSED,154
3866407836,155.0,73.0,-52.9,FAILED,155
3083300786,152.0,152.0,0.0,PASSED,156
2406711673,155.0,73.0,-52.9,FAILED,157
1068535433,152.0,152.0,0.0,PASSED,158
2587645349,155.0,73.0,-52.9,FAILED,159
4162700075,152.0,152.0,0.0,PASSED,160
2190399896,151.0,153.0,1.32,PASSED,161
3289125005,151.0,153.0,1.32,PASSED,162
2475827923,152.0,152.0,0.0,PASSED,163
1942188498,152.0,152.0,0.0,PASSED,164
2422022754,155.0,73.0,-52.9,FAILED,165
2816380393,151.0,153.0,1.32,PASSED,166
513633237,155.0,73.0,-52.9,FAILED,167
3247839967,151.0,131.0,-13.25,PASSED,168
