SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Reward Change (%),Std. Reward Change (%),Avg. Baseline Reward,Avg. Mutated Reward
1000,216,784,21.6,-22.25016,13.403881796764011,124.172,96.356

RAW DATA
seed,baseline_reward,mutated_reward,reward_change_pct,result,run_number
3010340306,121.0,90.0,-25.62,FAILED,1
3589128254,121.0,90.0,-25.62,FAILED,2
2796806531,121.0,124.0,2.48,PASSED,3
1405269617,123.0,81.0,-34.15,FAILED,4
246263191,123.0,81.0,-34.15,FAILED,5
887256621,121.0,90.0,-25.62,FAILED,6
4269475548,130.0,95.0,-26.92,FAILED,7
2207458638,130.0,95.0,-26.92,FAILED,8
830938667,121.0,90.0,-25.62,FAILED,9
3299762677,130.0,95.0,-26.92,FAILED,10
780597962,123.0,81.0,-34.15,FAILED,11
667697194,130.0,95.0,-26.92,FAILED,12
2896029988,121.0,124.0,2.48,PASSED,13
3776314382,121.0,124.0,2.48,PASSED,14
252363740,121.0,90.0,-25.62,FAILED,15
2176170482,121.0,90.0,-25.62,FAILED,16
260386183,130.0,95.0,-26.92,FAILED,17
444457322,121.0,124.0,2.48,PASSED,18
2412042732,130.0,95.0,-26.92,FAILED,19
17981240,121.0,124.0,2.48,PASSED,20
3089284,123.0,81.0,-34.15,FAILED,21
790076783,130.0,95.0,-26.92,FAILED,22
1359576573,121.0,124.0,2.48,PASSED,23
4089063304,121.0,90.0,-25.62,FAILED,24
2409276306,130.0,95.0,-26.92,FAILED,25
1087792198,123.0,81.0,-34.15,FAILED,26
1179076076,123.0,81.0,-34.15,FAILED,27
665056242,121.0,124.0,2.48,PASSED,28
717247435,130.0,95.0,-26.92,FAILED,29
2160217739,130.0,95.0,-26.92,FAILED,30
800504601,121.0,124.0,2.48,PASSED,31
579866052,123.0,81.0,-34.15,FAILED,32
831508989,121.0,90.0,-25.62,FAILED,33
2921195892,121.0,90.0,-25.62,FAILED,34
39372797,121.0,90.0,-25.62,FAILED,35
4233951908,123.0,81.0,-34.15,FAILED,36
3680139069,121.0,90.0,-25.62,FAILED,37
3827932880,130.0,95.0,-26.92,FAILED,38
3331445987,130.0,95.0,-26.92,FAILED,39
460964647,121.0,124.0,2.48,PASSED,40
634862881,123.0,81.0,-34.15,FAILED,41
2499662342,121.0,90.0,-25.62,FAILED,42
943360430,121.0,124.0,2.48,PASSED,43
975616734,130.0,95.0,-26.92,FAILED,44
3077017956,123.0,81.0,-34.15,FAILED,45
3833799001,123.0,81.0,-34.15,FAILED,46
2748644972,121.0,124.0,2.48,PASSED,47
2634637107,123.0,81.0,-34.15,FAILED,48
2787781036,121.0,90.0,-25.62,FAILED,49
2395994670,123.0,81.0,-34.15,FAILED,50
314040825,130.0,95.0,-26.92,FAILED,51
264925134,123.0,81.0,-34.15,FAILED,52
2458315711,130.0,95.0,-26.92,FAILED,53
1504865630,130.0,95.0,-26.92,FAILED,54
1843396817,123.0,81.0,-34.15,FAILED,55
857484129,130.0,95.0,-26.92,FAILED,56
1878819069,121.0,90.0,-25.62,FAILED,57
3954697599,121.0,90.0,-25.62,FAILED,58
1815784675,123.0,81.0,-34.15,FAILED,59
1338479985,130.0,95.0,-26.92,FAILED,60
2612165812,123.0,81.0,-34.15,FAILED,61
3341337058,130.0,95.0,-26.92,FAILED,62
384819278,121.0,124.0,2.48,PASSED,63
2478891503,121.0,90.0,-25.62,FAILED,64
60597586,123.0,81.0,-34.15,FAILED,65
1723970588,121.0,124.0,2.48,PASSED,66
1923867721,130.0,95.0,-26.92,FAILED,67
2578715831,130.0,95.0,-26.92,FAILED,68
1863585133,130.0,95.0,-26.92,FAILED,69
3078676755,121.0,124.0,2.48,PASSED,70
2525971795,121.0,90.0,-25.62,FAILED,71
2613901292,130.0,95.0,-26.92,FAILED,72
2289100450,130.0,95.0,-26.92,FAILED,73
654496741,130.0,95.0,-26.92,FAILED,74
3655338972,123.0,81.0,-34.15,FAILED,75
1401756804,121.0,90.0,-25.62,FAILED,76
814454967,121.0,90.0,-25.62,FAILED,77
631095187,130.0,95.0,-26.92,FAILED,78
3687598068,123.0,81.0,-34.15,FAILED,79
2853039268,130.0,95.0,-26.92,FAILED,80
3067923016,130.0,95.0,-26.92,FAILED,81
266735766,130.0,95.0,-26.92,FAILED,82
757024716,123.0,81.0,-34.15,FAILED,83
2115899821,130.0,95.0,-26.92,FAILED,84
1324933983,130.0,95.0,-26.92,FAILED,85
3134792159,130.0,95.0,-26.92,FAILED,86
1059345558,121.0,124.0,2.48,PASSED,87
3184983313,130.0,95.0,-26.92,FAILED,88
193504901,123.0,81.0,-34.15,FAILED,89
797805661,130.0,95.0,-26.92,FAILED,90
2881737105,121.0,124.0,2.48,PASSED,91
1879752970,121.0,90.0,-25.62,FAILED,92
178170755,130.0,95.0,-26.92,FAILED,93
1381286929,123.0,81.0,-34.15,FAILED,94
3488905429,123.0,81.0,-34.15,FAILED,95
1664611878,121.0,90.0,-25.62,FAILED,96
916158973,130.0,95.0,-26.92,FAILED,97
2175944305,123.0,81.0,-34.15,FAILED,98
220316452,121.0,90.0,-25.62,FAILED,99
3282014929,130.0,95.0,-26.92,FAILED,100
1024011489,121.0,90.0,-25.62,FAILED,101
763815214,121.0,124.0,2.48,PASSED,102
1598256972,123.0,81.0,-34.15,FAILED,103
1953871572,123.0,81.0,-34.15,FAILED,104
944556052,121.0,124.0,2.48,PASSED,105
488273600,130.0,95.0,-26.92,FAILED,106
4021691332,130.0,95.0,-26.92,FAILED,107
2276597586,123.0,81.0,-34.15,FAILED,108
2485719971,123.0,81.0,-34.15,FAILED,109
3062111820,130.0,95.0,-26.92,FAILED,110
3602097958,130.0,95.0,-26.92,FAILED,111
1969874727,121.0,90.0,-25.62,FAILED,112
1372503400,123.0,81.0,-34.15,FAILED,113
1161448411,130.0,95.0,-26.92,FAILED,114
1611915162,130.0,95.0,-26.92,FAILED,115
692724466,121.0,124.0,2.48,PASSED,116
1468525051,121.0,124.0,2.48,PASSED,117
4049743439,123.0,81.0,-34.15,FAILED,118
