SUMMARY
Total Runs,Passes,Fails,Pass Rate (%),Avg. Divergence (%),Std. Divergence (%),Avg. Total Steps,Avg. Divergent Steps
200,0,200,0.0,81.0932,2.3190950323012243,850.2,690.815

RAW DATA
seed,total_steps,divergent_steps,divergence_pct,result,run_number
2304128606,944,795,84.22,FAILED,1
2869386798,770,618,80.26,FAILED,2
2250280328,948,799,84.28,FAILED,3
1734494908,767,613,79.92,FAILED,4
1176823641,766,614,80.16,FAILED,5
2111878807,768,616,80.21,FAILED,6
3647655275,943,794,84.2,FAILED,7
3400879626,857,675,78.76,FAILED,8
1344027038,945,796,84.23,FAILED,9
2297391109,949,800,84.3,FAILED,10
872249776,948,799,84.28,FAILED,11
464347185,950,801,84.32,FAILED,12
361818841,858,676,78.79,FAILED,13
2379029268,767,615,80.18,FAILED,14
3354611704,765,613,80.13,FAILED,15
3087225343,851,669,78.61,FAILED,16
423961188,765,613,80.13,FAILED,17
2793988020,767,613,79.92,FAILED,18
2598297579,854,672,78.69,FAILED,19
522268802,949,800,84.3,FAILED,20
1754635708,946,797,84.25,FAILED,21
2527881787,767,613,79.92,FAILED,22
2721442303,946,797,84.25,FAILED,23
3939239495,950,801,84.32,FAILED,24
3071431562,950,801,84.32,FAILED,25
2191473265,853,671,78.66,FAILED,26
500842225,858,676,78.79,FAILED,27
3802297599,854,672,78.69,FAILED,28
4224081060,856,674,78.74,FAILED,29
2922851823,943,794,84.2,FAILED,30
2167807703,947,798,84.27,FAILED,31
4075056074,950,801,84.32,FAILED,32
2792727666,764,612,80.1,FAILED,33
964400525,764,610,79.84,FAILED,34
1329688158,856,674,78.74,FAILED,35
3385418998,762,608,79.79,FAILED,36
605655243,947,798,84.27,FAILED,37
2777401920,856,674,78.74,FAILED,38
3631502831,855,673,78.71,FAILED,39
361348707,943,794,84.2,FAILED,40
3656447346,853,671,78.66,FAILED,41
3748304102,947,798,84.27,FAILED,42
3072192069,765,613,80.13,FAILED,43
2185392232,767,615,80.18,FAILED,44
3921416953,858,676,78.79,FAILED,45
4088113809,766,612,79.9,FAILED,46
1504066254,851,669,78.61,FAILED,47
1605012659,770,618,80.26,FAILED,48
752275572,950,801,84.32,FAILED,49
2907569777,854,672,78.69,FAILED,50
189407817,851,669,78.61,FAILED,51
1051737722,767,613,79.92,FAILED,52
1370830123,765,613,80.13,FAILED,53
977722537,765,611,79.87,FAILED,54
292818311,766,612,79.9,FAILED,55
3496108846,765,611,79.87,FAILED,56
3250577235,768,614,79.95,FAILED,57
3493193567,950,801,84.32,FAILED,58
2267205695,858,676,78.79,FAILED,59
1285426479,854,672,78.69,FAILED,60
1139308580,768,614,79.95,FAILED,61
3849819730,950,801,84.32,FAILED,62
3492268826,767,613,79.92,FAILED,63
1852771061,944,795,84.22,FAILED,64
863330096,764,612,80.1,FAILED,65
2928748854,943,794,84.2,FAILED,66
560623629,948,799,84.28,FAILED,67
3355148033,948,799,84.28,FAILED,68
1944450613,944,795,84.22,FAILED,69
1562410522,764,612,80.1,FAILED,70
1639780835,944,795,84.22,FAILED,71
283806879,947,798,84.27,FAILED,72
2959816476,949,800,84.3,FAILED,73
1757938584,947,798,84.27,FAILED,74
4043464794,767,613,79.92,FAILED,75
3804265368,767,615,80.18,FAILED,76
64359340,950,801,84.32,FAILED,77
3081032355,764,612,80.1,FAILED,78
725623559,948,799,84.28,FAILED,79
2160169390,763,609,79.82,FAILED,80
2106625873,950,801,84.32,FAILED,81
3023646481,765,613,80.13,FAILED,82
2294848246,767,613,79.92,FAILED,83
4138839656,770,618,80.26,FAILED,84
1687760725,858,676,78.79,FAILED,85
2561142042,948,799,84.28,FAILED,86
90700181,854,672,78.69,FAILED,87
4115652816,856,674,78.74,FAILED,88
1565149035,851,669,78.61,FAILED,89
1380015530,768,614,79.95,FAILED,90
233151119,766,612,79.9,FAILED,91
120527111,769,617,80.23,FAILED,92
2137557676,855,673,78.71,FAILED,93
1711790953,767,615,80.18,FAILED,94
3512271193,858,676,78.79,FAILED,95
3908280620,766,614,80.16,FAILED,96
855012442,856,674,78.74,FAILED,97
1874582621,856,674,78.74,FAILED,98
381887673,852,670,78.64,FAILED,99
967408308,858,676,78.79,FAILED,100
2577092858,767,613,79.92,FAILED,101
3265766484,851,669,78.61,FAILED,102
1587907924,766,612,79.9,FAILED,103
4194739341,764,612,80.1,FAILED,104
3210946958,857,675,78.76,FAILED,105
3486799650,769,617,80.23,FAILED,106
2095178321,947,798,84.27,FAILED,107
3169631013,766,612,79.9,FAILED,108
783655473,855,673,78.71,FAILED,109
2505354201,766,612,79.9,FAILED,110
196465485,858,676,78.79,FAILED,111
3000300774,949,800,84.3,FAILED,112
474376494,764,610,79.84,FAILED,113
2027794409,855,673,78.71,FAILED,114
2624112957,857,675,78.76,FAILED,115
3270036064,857,675,78.76,FAILED,116
2636562620,949,800,84.3,FAILED,117
1386948487,767,613,79.92,FAILED,118
2797515167,950,801,84.32,FAILED,119
1563987996,765,613,80.13,FAILED,120
1072550844,851,669,78.61,FAILED,121
656715419,947,798,84.27,FAILED,122
2431279669,769,617,80.23,FAILED,123
3574951772,765,611,79.87,FAILED,124
2038404714,768,616,80.21,FAILED,125
1721447830,943,794,84.2,FAILED,126
4150824822,857,675,78.76,FAILED,127
3685618110,766,612,79.9,FAILED,128
3156726653,946,797,84.25,FAILED,129
116067393,854,672,78.69,FAILED,130
3602726858,857,675,78.76,FAILED,131
3087058075,950,801,84.32,FAILED,132
4140816606,767,613,79.92,FAILED,133
1412398774,763,609,79.82,FAILED,134
2928182503,765,613,80.13,FAILED,135
645342055,943,794,84.2,FAILED,136
2748127089,764,612,80.1,FAILED,137
2953439354,764,610,79.84,FAILED,138
3939028685,770,618,80.26,FAILED,139
2749102676,851,669,78.61,FAILED,140
3864964382,762,608,79.79,FAILED,141
4178876657,943,794,84.2,FAILED,142
3905129676,946,797,84.25,FAILED,143
1191465932,949,800,84.3,FAILED,144
2333156334,947,798,84.27,FAILED,145
2840102799,767,615,80.18,FAILED,146
900045697,764,610,79.84,FAILED,147
1555336834,855,673,78.71,FAILED,148
750896330,946,797,84.25,FAILED,149
1353202051,947,798,84.27,FAILED,150
2089562240,944,795,84.22,FAILED,151
769002599,852,670,78.64,FAILED,152
167405175,853,671,78.66,FAILED,153
205279127,856,674,78.74,FAILED,154
846628260,766,612,79.9,FAILED,155
4008336034,765,611,79.87,FAILED,156
262533532,764,610,79.84,FAILED,157
1659573929,767,615,80.18,FAILED,158
3652502689,762,608,79.79,FAILED,159
1144358677,764,612,80.1,FAILED,160
3933080495,766,614,80.16,FAILED,161
1212775348,857,675,78.76,FAILED,162
3210273528,943,794,84.2,FAILED,163
441429196,762,608,79.79,FAILED,164
794111288,948,799,84.28,FAILED,165
4244116159,856,674,78.74,FAILED,166
2910967480,856,674,78.74,FAILED,167
916600714,765,611,79.87,FAILED,168
4275298760,945,796,84.23,FAILED,169
3749341275,944,795,84.22,FAILED,170
2646977031,853,671,78.66,FAILED,171
1715583420,767,613,79.92,FAILED,172
439679407,770,618,80.26,FAILED,173
2263986502,945,796,84.23,FAILED,174
1443635583,943,794,84.2,FAILED,175
3831725296,765,613,80.13,FAILED,176
3719754541,947,798,84.27,FAILED,177
1823583289,950,801,84.32,FAILED,178
3487636539,765,611,79.87,FAILED,179
285996682,950,801,84.32,FAILED,180
1237477025,948,799,84.28,FAILED,181
3234699149,948,799,84.28,FAILED,182
31365556,768,614,79.95,FAILED,183
779230880,855,673,78.71,FAILED,184
1366920003,766,612,79.9,FAILED,185
3789280663,947,798,84.27,FAILED,186
1968480073,768,616,80.21,FAILED,187
652037436,948,799,84.28,FAILED,188
674053813,858,676,78.79,FAILED,189
2103573636,947,798,84.27,FAILED,190
902812811,764,610,79.84,FAILED,191
3060795959,767,613,79.92,FAILED,192
1477062211,763,609,79.82,FAILED,193
969013534,947,798,84.27,FAILED,194
2297160787,767,615,80.18,FAILED,195
429131254,946,797,84.25,FAILED,196
590369114,858,676,78.79,FAILED,197
2055742136,858,676,78.79,FAILED,198
1166611878,851,669,78.61,FAILED,199
3259933562,947,798,84.27,FAILED,200
